abstract,summary
Iraqi opposition figures who fled to their headquarters building after Kurdish faction leader Massoud Barzani forged partnership with Iraqi Government say they believe their lives would be at risk unless they are evacuated quickly; officials of Barzani's faction say there is no reason for opposition figures to be fearful (S) ,"The Iraqi opposition figures who fled to their headquarters building here after a Kurdish faction leader forged a partnership with the Iraqi Government said today that they believed their lives would be at risk unless they were evacuated quickly. They say that Iraqi security forces have begun to monitor their movements and that President Clinton's pledge to'' do everything we can'' to extract them from Iraq will only tempt President Saddam Hussein's agents unless the pledge is acted on soon.''So far no one has arrived to help us,'' an opposition figure said.'' They say all Iraqi personnel withdrew from the region after Government troops helped Mr. Barzani take control of its capital, Erbil."
"Bronx Boro Pres Fernando Ferrer, who is expected to run for mayor next year, says he has severed his professional relationship with Dick Morris, political consultant who resigned from Pres Clinton's campaign after tabloid reported he had relationship with prostitute (S) ","Fernando Ferrer, the Bronx borough president who is expected to run for mayor next year, said yesterday that he had severed his professional relationship with Dick Morris, the political consultant who resigned from President Clinton's campaign after a tabloid reported that he had had a relationship with a prostitute. Mr. Ferrer said he had spoken with Mr. Morris on the telephone'' and we agreed that he would not continue as my consultant.'' He added,'' I would think he has more important things to do than consulting with me right now.''Mr. Ferrer, a Democrat, has not officially announced his candidacy for mayor. POLITICS"
"Archeologists uncover remains of Jamestown, first successful English settlement in what is now the United States; it was established in 1607 by 104 settlers of the Virginia Company; more than half of them died within few wretched months; it was colony where Capt John Smith was supposedly rescued by daughter of powerful Indian chief; all traces of original fort had been lost for more than two centuries, and buried remains of wall, along with artifacts, were throught to have been washed away by changing river currents; anthropologists are interested in studying skeleton of young man, part of new find, for insights into nutrition, diseases and other physical conditions of early 17th-century people living in harsh colonial circumstances; photos; map (M) ","The 104 settlers of the Virginia Company named the place James Fort, later Jamestown, after the sovereign for whom more than half would die in a few wretched months. Looking back from the 19th century, the orator Edward Everett spoke of the Jamestown fort in tidewater Virginia as the place'' where the first germs of the mighty republic... Anything of the first structures at the first permanent English settlement in America seemed beyond recovery. Archeologists said these observations conformed exactly with contemporary written descriptions of the original fort. The fort site has so far yielded nothing to embellish the familiar story of Captain Smith and Pocahontas."
"Article traces long personal and professional relationship between Pres and Mrs Clinton and Peter and Marian Wright Edelman, which suffered blow this week when Peter Edelman resigned his high position in Clinton Administration to protest new welfare law that Pres Clinton signed; photo (M) ","On Wednesday it finally snapped, when Mr. Edelman resigned as an assistant secretary of health and human services in protest over President Clinton's decision to sign a bill that drastically changes the welfare system. But when conservatives mounted a campaign against the proposed nomination based on Mr. Edelman's liberal academic writings, Mr. Clinton quickly backed down. When Mr. Clinton signed the welfare bill in August, ending a 60-year Federal guarantee of assistance for poor children, Mrs. Edelman denounced him for what she called a'' moment of shame'' and making'' a mockery of his pledge not to hurt children.''Mrs. George Stephanopoulous, a senior White House adviser, declined to comment on the matter today except to say that Mr. Clinton had great admiration for both Mr. and Mrs. Edelman."
"Bill that would crack down on illegal immigration has exposed deep divisions among House and Senate Republicans, many of whom calculate that best course for them might not serve best interests of Bob Dole's struggling Presidential campaign; Republican lawmakers in states with large number of illegal immigrants are eager to pass bill; but Dole is loath to hand Pres Clinton opportunity to claim credit for politically popular bill (M) ","A bill that would crack down on illegal immigration has exposed deep divisions among House and Senate Republicans, many of whom calculate that the best course for them might not serve the best interests of Bob Dole's struggling Presidential campaign. The provision, included in the House version of the bill but not in the Senate's, would allow states to deny a public education to children who are illegal immigrants. President Clinton has indicated that he wants to sign the immigration bill, but not if it includes the education provision. The immigration bill would double the number of Border Patrol officers, increase workplace inspections and restrict public benefits to legal aliens. House and Senate negotiators are set to meet next Tuesday to discuss the immigration bill."
"Rush of events that has seen Massoud Barzani take control of entire Kurdish region of Iraq has set off widespread suspicions; Barzani controlled only one of three major cities in Iraq's Kurdish region until Aug 31; he insists his alliance with Iraqi Government is both temporary and limited; he vows to pursue pluralism, democracy and unity; Kurds say they do not know whether to cheer end of Iraqi embargo, or worry that it is ploy to allow Iraqi agents to circulate more freely; maps (M) ","But Mr. Barzani, who ruled the city throughout the Kurdish factional fighting, managed to get it turned on again-- for a fee of nearly $ 1.5 million a year. Barzani is now in control of all of Iraq's Kurdish region, thanks again to Iraqi help, and Baghdad has ended a five-year embargo, which prevented goods and people from moving freely into the area. Barzani, who until Aug. 31 controlled only one of the three major cities in Iraq's Kurdish region, has insisted that his alliance with the Iraqi Government, which set him on the path toward conquest, was both temporary and limited. During the Iran-Iraq war, he sided with Iran while Mr. Talabani supported Iraq. But later he moved closer in supporting Baghdad than Mr. Talabani, angering his rival."
"Pentagon dispatches second aircraft carrier to Middle East, expanding American fire power in the region as the United States prepares for new attack on Iraq; Pres Clinton vows to do 'whatever it takes' to keep Saddam Hussein from threatening his neighbors or American pilots (M) ","The Pentagon dispatched a second aircraft carrier to the Middle East today, expanding American firepower in the region as the United States prepared for a new attack on Iraq. Defense Department officials said that the carrier Enterprise, which is now in the Adriatic Sea, has been ordered to the Suez Canal and from there to pass this weekend into the Red Sea, where its jet fighters would be in range for attacks on Iraq. The American aircraft carrier Carl Vinson is already in the Persian Gulf and was involved in last week's cruise-missile strikes on Iraq, which were intended to punish Iraq for sending tens of thousands of troops into northern Iraq in recent weeks in support of a Kurdish faction in its conflict with Iranian-backed rivals. ' Iraq, under Saddam Hussein, only understands force."
"Dick Morris, former adviser to Pres Clinton, attends breakfast at The New Yorker magazine for magazine's reporters and advertisers; answers off-the-record questions about his ethics and insights; says little to journalists barred from gathering; photo (M) ","It sounds like a political and advertising peep show, especially since it's all off the record,'' Mr. MacArthur said of The New Yorker reporters:' They're just being used as window-dressing for the advertisers. It's in poor taste.''Thomas A. Florio, the New Yorker's president, angrily rejected that criticism.'' some New Yorker staff members said they were upset about Mr. Morris's appearance, others said they saw no serious issue. Several staff members said that they had been more concerned that The New Yorker would excerpt Mr. Morris's book or publish an article by him. Reached at home last night, Mr. Evans said the book would not be excerpted in The New Yorker.'' The New Yorker is off the table,'' he said.''"
"Howard Wilson, New York City's Commissioner of Investigation for two and half years, is appointed by Mayor Giuliani to unpaid position as chmn of School Construction Authority; one of Wilson's first tasks will be to help select president of independent agency, who would be in charge of day-to-day operations of building and rehabilitating public schools in city; photo (M) ","Howard Wilson, the city's Commissioner of Investigation for two and a half years, was appointed yesterday by Mayor Rudolph W. Giuliani to an unpaid position as chairman of the School Construction Authority, resigning a key position in which his watchdog agency forged the closest relationship with City Hall in two decades. In the new position, one of Mr. Wilson's first tasks will be to help select a president of the independent agency, who would be in charge of the day-to-day operations of building and rehabilitating public schools in New York City. But despite that vow, it was unclear yesterday how much the agency could do to deal with the immediate overcrowding crisis because of the lack of state and city money for new school construction."
"The Race For President: The South, describes Pres Clinton's turnaround in region that spurned him only two years ago; not only is Clinton is leading Bob Dole, or running neck and neck with him, in polls in Tennessee and four other Southern or Border states Clinton won four years ago, Arkansas, Georgia, Kentucky and Louisiana, he is also competitive in Florida and North Carolina; Clinton is even threatening Dole in Virginia, which no Democrat has captured since 1964; Clinton's ability to stay competitive in South demonstrates his success in repositioning himself as cultural conservative after being vilified throughout region early in his term for raising taxes and promising to end military's ban on service by homosexuals; many Republicans fear that Dole has not given voters reason to back him, and that, in states like Virginia, Dole is burdened by heavy baggage from Republican platform; graphs; map (M) ","Not only is the President leading Mr. Dole, or running neck and neck with him, in polls in Tennessee and the four other Southern or Border states Mr. Clinton won four years ago-- These are states that Bush won in 1992, and one would think a competent Republican campaign would have sewn them up some time ago.''His weakness in the South also complicates Mr. Dole's issues strategy: to attract Southern voters, he needs to emphasize policy issues, as well as questions about Mr. Clinton's character, that may not find so welcome an audience elsewhere. Republicans are reminding voters in North Carolina and Kentucky, major tobacco-growing states, of Mr. Clinton's efforts to regulate cigarette makers, Mr. Dole's opposition to which has not played well nationally."
