abstract,summary
Venice to hold first international exhibition of contemporary glass art; photo (S) ,"Venice will play host to'' Open Glass,'' the city's first international exhibition of contemporary glass art, from Sept. 12 to Nov. 10. The exhibition will feature the work of more than 100 contemporary glass artists from around the world, including Dale Chihuly from the United States, Stanislav Libensky from the Czech Republic, Bert Frijns from the Netherlands and Antoine Leperlier from France. Venice has been known for centuries for its tradition of glass blowing, and it is to celebrate this art, passed on from generation to generation of master glass artists, that the municipal government conceived of the event to highlight the work of contemporary artists. The exhibition will become a biannual event alternating with the Biennale of Contemporary Art."
Frugal Traveler article on mountain holiday in Sawtooth National Recreation in central Idaho; photos; map (M) ,"774- 3591, fax ( 208 ) 774- 3455, offers short rides from Redfish Lake Corral and Galena, hunting and fishing trips and two- to five-day pack trips into the Sawtooth Wilderness. Places to EatThe Sawtooth Cafe serves breakfast and lunch only, in downtown Stanley at the west end of Ace of Diamonds Avenue; ( 208 ) 774-9947.Redfish Lake Lodge serves breakfast, lunch and dinner, with views of Redfish Lake; ( 208 ) 774- 3536.The Kasino Club is at 21 Ace of Diamonds Avenue in Stanley, serving dinner only, from 6 to 10; ( 208 ) 774- 3516."
Sumo wrestling sites in Tokyo noted (S) ,"The Kasugano stable is near Ryogoku station on the Sobu train line, near the Edo Tokyo Museum. To be sure the wrestlers are training, ask your hotel concierge to call Kasugano at 3631 1871 in Tokyo. FREQUENT FLIERSBuy and FlyThere's shop till you drop. Fort Worth Outlet Square offers AAdvantage frequent flier miles to shoppers. Sept. 28 to Oct. 5, the Club Med Sonora Bay along the Sea of Cortes in Guaymas, Mexico, will offer a beach vollyball week. There will be daily clinics, demonstrations and matches that mix guests and pro players such as Mike Dodd, a silver medalist this summer at the Atlanta Olympic Games. AIRLINESmoke EndersBeginning Oct. 27, LOT Polish Airlines will ban smoking on all trans-Atlantic routes."
"Question-and-answer column on travel; on Rose Bowl tickets, home exchange listings and weather in Munich ","Rose Bowl TicketsQ. How does one see the Rose Bowl Parade? How do you get tickets to the Rose Bowl Game?-- However, there are grandstand seats along the route, and tickets for them cost $ 23 to $ 50 each. The higher-priced seats are near the beginning of the route. A four-day, three-night package includes a stay at the Marriott Airport, a visit to the barns where the floats are assembled, a city tour, grandstand seats at the beginning of the parade route and seats to the game. There are about 2,000 total listings, roughly half domestic and half foreign."
Practical Traveler column on some moderate or 'soft' adventure trips (S) ,"MODERATE, or'' soft,'' adventure trips are increasing in popularity. The demographics have led some operators to designate trips specifically for women, or for older travelers. Most travel operators offering bike rides, walks, raft trips, tent safaris and similar opportunities grade their levels. Here is a sampling of outdoor trips that are defined by their operators as not too difficult. Eldertreks, a tour operator in Toronto, offers this 20-day trip starting on Nov. 17, Dec. 22 and Jan. 26. A 10-day trip by minivan, with overnights in local guesthouses, takes the group to Chiang Mai, with pauses on the way for walks. The trip back to Bangkok is by overnight train."
Terry Trucco reports on four hotels in lower Manhattan; photos; map (M) ,"By 1992, the Wall Street area had acquired two more large hotels, the 561-room Millenium Hilton and the 517-room New York Marriott Financial Center. The roster of rooms downtown contracted dramatically in 1993 when the Vista closed after the World Trade Center bombing. I recently stayed at these four hotels in four different neighborhoods downtown. New York Marriott World Trade Center, New York, N.Y. 10048; ( 800 ) 228- 9290 or ( 212 ) 938- 9100. And I did n't need the two double beds in the large $ 138 rooms. Double rooms from $ 110, including breakfast; no special weekend rate. Double rooms $ 159. SoHo Grand Hotel, 310 West Broadway, New York, N.Y. 10013; ( 800 ) Double rooms from $ 199."
"Comment on restoration of seven-sided Bradley-Wheeler Cobblestone Barn in Westport, Conn; barn reopened this summer, and is home to displays by Westport Historical Society; photos (M) ","FINALLY, on July 21, after 10 long years of what often seemed a never-be-done effort, the fully restored Bradley-Wheeler Cobblestone Barn opened. The seven-sided ( with octagonal roof ) cobblestone building, tucked behind Wheeler House, the Westport Historical Society's headquarters, stands as one of the only structures of its type in Connecticut. A Special Place'' ( published by the Historical Society in 1985 ), and a member of the barn committee. In the beginning, there were grants from the Connecticut Historical Commission and the Connecticut Economic Development Commission. And last September, Ms. Dickinson, president of the Historical Society for several years and involved with the house and barn from the beginning, died of cancer. The Bradley-Wheeler Cobblestone Barn is open Wednesday and Saturday from 10 A.M. to 3 P.M. From: Westport"
William Zimmer reviews exhibition The Art of Charles and Mary Roberts Ebert at Florence Griswold Museum in Old Lyme; photos (M) ,"He seems monumental and the painting is strongly reminiscent of Van Gogh's depictions of working people in Provence. Viewers first become acquainted with Charles Ebert ( 1873- 1959 ) through the painting,'' Horne Hill.'' Charles Ebert alludes to the contemporary world in other works:'' The paintings centered on Old Lyme are more vaporous.'' House on Lyme Street, Old Lyme'' dissolves ethereally into faint purple and yellow. In many of what must be his last works is the atmosphere of Asian painting; a squiggly stroke denotes a tree trunk, for example. But secondly, Mary Ebert seems to have deliberately decided to work in media considered more minor than oil painting. But even work"
"Bess Liebenson reviews exhibition People of the Lake and Forest: The Semelai of Tasek Bera, on view at Peabody Museum in New Haven; photos (M) ","As the show's guest curator, Dr. Rosemary Gianno, put it,'' Hardly anyone has ever heard of these people.''The first such exhibition presented in the United States offers a glimpse of the technology and culture of the Semelai in their rain forest setting. Gianno focused on the collection and trade of resins and other rain forest products, a trade extending back into pre-history and important to the culture of the group called Orang Asli in the Malay Peninsula.'' Initially they were the exhibit,'' said Dr. Gianno. The Semelai culture as an adaptation to their surroundings offers a sense of paradise lost-- very common in today's world where logging is going on, but most particularly in the tropical rain forest,'' Dr. Gianno said."
"Comment on motorcycle safety course operated by Connecticut Rider Education Program, sponsored by Dept of Highway Safety and offered between April and November at seven locations in state; photos (M) ","Last year 1,655 people signed up to take the 19-hour motorcycle safety course, operated through the Department of Highway Safety and offered continuously between April and November at seven locations in the state. The course curriculum was created by the Motorcycle Safety Foundation and is based on extensive studies of motorcycle accidents.''The course is so well designed that it builds each skill upon what you've learned before it,'' said Mr. Beal.'' Passing the course can mean more to motorcycle drivers than just improved skills. Basically it's the same when I'm on a motorcycle."
"M H Reed reviews Willett House restaurant, Port Chester, NY (M) ","In steakhouse tradition, the Willett House also serves seafood, and one should begin with a dish of clams. At this time of year when markets overflow with ripe tomatoes, this kitchen stocked its salads with winter's anemic ones. Cool, ripe strawberries and blueberries made a refreshing ending, and the dauntless will have no trouble polishing off nutty, sweet pecan pie, perhaps with a scoop of vanilla ice cream. The Willett House is a block east of Route 1 ( Main Street).The Willett HouseGood20 Willett Avenue, Port Chester. Recommended dishes: Willett clams, clams casino, porterhouse steak, prime ribs, salmon, white chocolate mousse cake, pecan pie, fresh berries. Friday Night Clam Bake, $ 30."
