abstract,summary
Janet Maslin reviews movie She's the One; photo (M) ,"Mr. Burns's second film,'' And Mr. Burns's first flush of success has allowed him to surround himself with several films' worth of beautiful, funny young actresses the second time around. But Mr. Burns emphatically avoids sophomore slump with an inviting, ruefully funny film that lives up to his initial promise. ( Mr. McGlone and Ms. Aniston do this especially well. ) This film is rated R.WITH: Jennifer Aniston ( Rene ), Maxine Bahns ( Hope ), Edward Burns ( Mickey ), Cameron Diaz ( Heather ), John Mahoney ( Mr. Fitzpatrick ), Mike McGlone ( Francis ) and Leslie Mann ( Bartender).FILM REVIEW"
"Ben Ratliff recommends going to Charlie Parker Jazz Festival, Tompkins Square Park (S) ","Charlie Parker Jazz Festival, Tompkins Square Park, Seventh Street and Avenue A, East Village, ( 212 ) 449- 9609. Now in its fourth year, this outdoor festival has become one of New York's must-attend jazz events. The pianist Randy Weston and his quintet open the long afternoon at 3. The alto saxophonist and clarinetist Marty Ehrlich, who balances neatly between the forward-looking and the traditional, leads a trio at 3:55. The Joe Lovano Quartet, led by one of the moment's most important tenor saxophonists, follows at 4:25. Max Roach will deliver one of his highly evolved solo drum performances at 5:20, and the tenor saxophonist and be-bop era legend Jimmy Heath leads a big band through a closing set at 6."
Listing of shows and exhibitions in Manhattan that are scheduled to close soon (S) ,"Here is a sampling of shows and exhibitions in Manhattan that are to close soon: Closing This Weekend''THE LISTENING SKY,'' Studio Museum in Harlem, 144 West 125th Street. Information: ( 212 ) 864- 4500.Closing Next Weekend''FORBIDDEN HOLLYWOOD,'' Triad Supper Club, 158 West 72d Street. WINDOW TO THE PAST,'' the American Museum of Natural History, Central Park West at 79th Street. Information: ( 212 ) 769-5100.''ANCIENT ART FROM THE SHUMEI FAMILY COLLECTION,'' Metropolitan Museum of Art, Fifth Avenue and 82d Street. PAUL CADMUS, THE SAILOR TRILOGY,'' Whitney Museum of American Art, 945 Madison Avenue, at 75th Street."
Holland Cotter reviews exhibition of photographs by Bing Wright and Glen Luchford at Pace Wildenstin MacGill Gallery (S) ,"Bing Wright / Jenny Saville and Glen Luchford Wright's monochromatic photographs titled'' Wet Glass'' are exactly what they say they are: images of water trickling down or splashed across a sheet of glass. Hanging in the adjoining room are two huge color photographs by Glen Luchford of the English painter Jenny Saville, best known for her monumental nude self-portraits. Mr. Luchford has shot Ms. Saville's sensationally corpulent torso from below as she lies face down on a clear sheet of glass clutching and prodding her own sallow flesh. Mr. Luchford and Ms. Saville turn a pucker-and-sag physique reminiscent of a Lucian Freud portrait into something nearly abstract. In both sets of images, gravity is the central player, momentarily arrested perhaps, but implacably at work as water falls and all-too-solid flesh melts away."
"Jon Pareles reviews concert by Nusrat Fateh Ali Khan, Pakistani singer of Sufi devotional songs, at Radio City Music Hall; photo (M) ","Nusrat Fateh Ali Khan's concerts are religious celebrations and dance parties, virtuoso showcases and master classes. At Radio City Music Hall on Wednesday night, Nusrat Fateh Ali Khan and Party, his 10-man group, sang about Allah, divine love and Sufi saints to a crowd that danced in the aisles despite the ushers' best efforts. Fateh Ali Khan is a household name in Pakistan, the best-known singer of the Sufi devotional songs called qawwali ( utterance ). A harmonium, played by the singer's brother Farrukh Fateh Ali Khan, murmured an introduction, setting out the song's mode. One by one, the group's lead singers shared a sustained note, almost as if they were tuning up."
Letter by Israeli Government spokesman Gideon Mark says his letter as published August 22 incorrectly ascribes to Nasser al-Kidwa title with political connotations contrary to Israeli policies ,"To the Editor: My letter as published Aug. 22 ascribes a title never used by me to Nasser al-Kidwa ( letter, Aug. 14 ). The title carries political connotations contrary to the policies of the Government of Israel; its appearance in my letter makes it seem as if I used this title when in fact I never did. GIDEON MARKNew York, Aug. 22, 1996Consul for Communications & amp; Public Affairs, Consulate General of Israel"
Stephen Holden reviews movie Madagascar Skin; photo (M) ,"That hopeful message reveals itself only gradually in Chris Newby's exquisitely photographed film'' Madagascar Skin,'' lifting what begins as a depressive reverie into a surreal comic ode to unlikely erotic fulfillment. Harry frantically saves the stranger, a tattooed window cleaner named Flint ( Bernard Hill ), from imminent drowning. Mr. Newby, an English film maker, directed in a hallucinatory style that gives every shot a Zenlike focus and concentration. As Flint fantasizes aloud about a woman in a bikini, Harry has his own sexual daydreams about his companion. Suddenly, out of the blue, Flint makes Harry a sexual proposition. This film is not rated. Bernard Hill ( Flint ) and John Hannah ( Harry).FILM REVIEW"
"Brief review by Janet Maslin of theatrical film Mary Reilly, now on home video; photo (S) ","Mary Reilly 1996. That maid out scrubbing the front stoop is none other than Julia Roberts, becomingly humble in the title role of servant girl to Dr. Jekyll ( John Malkovich ). Stephen Frears's film, which adapts not Robert Louis Stevenson's novel but Valerie Martin's, chronicles dark and strange goings-on in the Jekyll household through the eyes of a shy young maid. It is left to Mr. Malkovich to supply any eroticism as the mockingly sensual Hyde and the repressed, only slightly less lascivious Jekyll. Stolidly gardening and sewing away even after gruesome discoveries in the doctor's laundry, Ms. Roberts gives, Janet Maslin wrote in The New York Times,'' a solemnly repetitive performance without much spark.''"
Gordon Carlson letter on disappearing barroom and changing mores of American working class; reports seeing two sanitation workers drinking Evian water on their break (S) ,"To the Editor: With respect to the disappearing barroom and the changing mores of the American working class ('' Barrooms' Decline Underlies a Drop in Adult Killings,'' front page, Aug. 19 ), the other day with my own eyes I saw two sanitation workers taking a break beside their garbage truck with bottles of Evian mineral water in their hands. What has become of manhood?GORDON CARLSONChicago, Aug. 21, 1996"
"Home Video column on upcoming video releases of theatrical films including Mission: Impossible, Twister and Toy Story and re-release of films The Sound of Music and My Fair Lady; photo (M) ","Normally new hit films carry suggested retail prices of $ 20 to $ 25, but because so many dealers sell tapes at cut rates, studios have begun to align their own prices. As an example of a film priced the old-fashioned way, there is'' Twister,'' to be released by Warner on Oct. 1 at a suggested retail price of $ 22.96.Each film should sell many millions of tapes, but the season's winner could be'' Toy Story,'' to be released by Disney on Oct. 29 at a suggested retail price of $ 26.99. IN MINDJohn Malkovich, Mr. Malkovich and Gary Sinise reprise their stage roles as the simple-minded Lennie and his brainy sidekick, George, in Mr. Sinise's adaptation of John Steinbeck's story."
Ben Ratliff reviews performance by Dave Holland at Iridium (S) ,"His bass lines, played with a commandeering power, are pitched down low on the instrument, and lean more toward pure resonance than melodic invention. The end result is the sort of serenity that seems to be the point of so much post-Coltrane jazz, yet is n't achieved all that often. Steve Nelson, in a deliberative mood, played chords as long-sustained colors on his vibraphone, letting layers of overtones hang in the air and ring together. Mr. Nelson handled the winding, rhythmic melodies in tandem with the alto saxophonist Eric Person, whose clean, sweet tone gathered momentum and became a carefully calibrated braying at the end of a solo. Holland anchored the action with his big-toned but buzzless bass lines."
"Vincent Canby reviews Eugene O'Neill play Hughie, directed by and starring Al Pacino at Circle in the Square; photo (M) ","In the late hours of a very long night, Erie Smith ( Mr. Pacino ), a failed Broadway sport, gambler and horse player, bends the ear of the uninterested night clerk ( Paul Benedict ). Erie is just coming off a five-day drunk triggered, he says, by the funeral of the previous night clerk, Hughie. As Erie rambles on, it becomes clear that he sees himself as having made life bearable for the forlorn Hughie. Erie dazzled Hughie with the'' tramps'' he brought home and introduced as Follies girls. He's a perfect foil for the desperate Erie. Al Pacino ( Erie Smith ) and Paul Benedict ( Night Clerk).THEATER REVIEW"
"William Gottlieb letter on bunching of New York City buses; says little has changed since he drove bus in 1981, with regard to Transit Authority's ability to play the public for fools; says real problem is lack of buses (S) ","To the Editor: I learned from your Aug. 18 news article on bus-bunching that one thing has n't changed since I last drove a New York City bus in 1981: the willingness of the Transit Authority to play the public for fools. On the M15 route I drove in Manhattan, dispatchers along the line routinely cut short a bus's route ( short-signing ) or told a driver to skip stops ( drop-off only ) to break up bus bunches. The main reason for poor bus service, including off-schedule buses running together, is that since the 1970's the T.A. has cut drastically the number of buses plying its routes. The T.A. knows this, as do the bus drivers and dispatchers who suffer with passengers when lines do n't run well."
"Marcia Magill letter objects to lifting 'retirement' age for jurors, noting she has served every two years since age 21 ","To the Editor: Having just finished jury duty, I read of Chief Judge Judith S. Kaye's experience in criminal court with mixed feelings ( news article, Aug. 16 ). Some of her jury-service reforms are most welcome. The automatic age exemption of 70 is no longer in effect. I have been called for jury duty every two years since I was 21, including several lengthy stints as a grand juror ( not endearing me much to my employers ). Doing away with 70 as the jury retirement age discriminates against older citizens who have served for decades, and sentences those performing their civic duty to spending more time in the New York justice system than most convicted felons. MARCIA MAGILLNew York, Aug. 19, 1996"
"Article on Carolyn and Sonny Hine, owners of race horse Skip Away, in view of upcoming Travers Stakes at Saratoga Race Track (M) ","Then he drove north to Saratoga in time to attend the draw for the Travers Stakes and to defend the proposition that his horse may not have won any of the Triple Crown races but was still the favorite for the summertime Derby. And Hine answered in a series of one-liners.''If he runs his race,'' Hine said,'' they better run Just give me a good horse. He ran a terrible race in the Derby. So, in a ceremony before the draw today, they presented a bronze trophy to Carolyn Hine and declared Skip Away the champion. The horse who won did n't win any Triple Crown race. No. 16 for the Kentucky Derby,"
"A M Rosenthal Op-Ed column on alarm over sharp rise in teen-age drug use, at time when adult use has abated; charges adults, including journalists, have abandoned duty to protect children from known and contagious evil (S) ","The newspapers and TV tell us we are in a new teen-age drug crisis. For adults in general, America is moving upward out of drugs. Among adults drug use has remained flat in the past few years and gone down 50 percent since 1985. Almost all Americans who escaped the drug epidemic went through childhood and adolescence without regular drug use. That reality is the importance, and validity, of the drug war. Ninety percent of adult cocaine users, for instance, started using drugs as teen-agers, and usually with marijuana. Children who do not get the anti-drug message from their parents are more likely to become drug users than those who do. Mr. Burke says children are receiving less anti-drug information and more glamorization of drug use as acceptable, and even normal."
"Several local magistrates in Italy say they are ready to prosecute Umberto Bossi for violating Italian Constitution, with less than month to go before Bossi and his green-shirted followers declare symbolic independence for mythical state of Padania in northern Italy; map (M) ","But with Italy's center-left Government, headed by Prime Minister Romano Prodi, absorbed by difficulties with its own coalition as it heads toward crucial budget battles this fall, the drama on the Po has been left to percolate on its own. While the Northern League, a party of protest born in the 1980's, did unexpectedly well in parts of the north last spring during Italy's national elections, it fared poorly in more recent local elections."
"Driving a taxi has become fastest-growing profession in Lima, Peru, in country with widespread unemployment and virtually no regulation of public transportation; recent arrival of low-cost imports from Asia allows many Peruvians not only to buy car for first time but to use it as taxi; photos (M) ","Many drivers openly admit they do not know the first thing about driving a taxi, let alone the rules of the road and the layout of the city. Taxi drivers often pick up and discharge passengers on either side of the street, creating traffic tie-ups and hazards. Some taxis are filthy, or assault passengers with ear-piercing music, or both. But do n't worry, you're safe with me because I treat my passengers just like they are part of my family.''Veteran taxi drivers like As a result, tens of thousands of Peruvians have bought cars in recent years and gone into the taxi business."
