abstract,summary
"New NYC agency, Trade Waste Commission, in its first significant move to overhaul private garbage-carting industry, gives 10,000 customers right to cancel contracts with 14 major companies immediately and to negotiate deals for lower prices with other carters; 14 companies had sought approval to keep their clients, contending city had no right under new law that set up the commission to cancel contracts; 12 of companies have been indicted on state charges that they are in Mafia-run cartel that inflated prices and allocated customers among themselves; Randy M Mastro, acting chairman of commission, comments (M) ","But yesterday, a new city agency, in its first significant move to overhaul the private garbage-carting industry, gave 10,000 customers the right to cancel contracts with 14 major companies immediately and to negotiate deals for lower prices with other carters. The 14 companies had sought approval to keep their clients, contending that the city had no right under a new law to cancel contracts. Their industry grosses $ 1.5 billion a year in fees.''For thousands of New York customers in the garbage industry, this is independence day,'' said Randy M. Mastro, acting chairman of the agency, the Trade Waste Commission, that ruled against the companies."
"Ruling by Appellate Division of State Supreme Court giving New York City go-ahead to evict squatters from city-owned buildings in East Village has led to an uneasy standoff, with some squatters fearing violent confrontation; City Hall says it is in no hurry to move against them (M) ","A court ruling on Thursday that gave New York City the go-ahead to evict squatters from city-owned buildings in the East Village led to an uneasy standoff yesterday, with some squatters fearing a violent confrontation but with City Hall saying it was in no hurry to move against them. After that confrontation, the squatters won a court injunction that protected them from eviction. There are squatters all over New York City who should be thrilled.''Some squatters said yesterday that the kind of confrontation that occurred last year seemed less likely now, since the most militant people who then confronted the police had moved out of the neighborhood.''Last year, there were more radical anarchists,'' said a squatter, who identified himself as S. Lewis.''"
"Sir Frank Whittle, British inventor of jet engine, dies at age 89; photo of Whittle and his original jet engine (M) ","Sir Frank first laid out his vision for jet propulsion at age 21 in his senior thesis at the Royal Air Force College. Thus, the first British jet plane, a Gloster-Whittle E29/39, flew on May 15, 1941. In a jet design, air flowing through the front of the engine is compressed and mixed with fuel before igniting in a continuous explosion. The jet engines had all of their development potential ahead of them. Even though Sir Frank is universally acknowledged to be the inventor of the jet engine, it was Dr. von Ohain's design-- an'' axial-flow engine'' as opposed to Sir Frank's'' centrifugal flow'' engine"
"Group of men who set fire to homeless woman asleep in Brooklyn subway station are arrested after they brag about attack; two of men arrested, Shake Willis, and another man who will not reveal his name, are charged with attempted murder (S) ","A group of men who set fire to a homeless woman asleep in a Brooklyn subway station were caught early yesterday because they bragged about the attack, the police said. The 30-year-old woman, whose name was not released, was treated at Interfaith Medical Center for second-degree burns on her left arm, and released after several hours, said Lars Larmon, director of public affairs for the hospital. The woman was asleep in the Franklin Avenue station on the A line in Bedford-Stuyvesant at 2:10 A.M. when five young men approached her, the police said. He said the passengers alerted police officers, who detained the men at the Broadway-Nassau station in Manhattan. Two men were arrested and charged with attempted murder, assault and reckless endangerment, Officer Gravelli said."
Peter Steinfels (Beliefs) column on left-of-center counterpart to religious right (M) ,"Dear Beliefs: I keep reading about the religious right, the religious right. Is there a religious left? What is the left-of-center counterpart to the religious right, anyway? : You would n't read about the religious right either if its leaders had their way. The religious right gets all the attention, they say, and the religious left none. You still have n't answered my question about the left-of-center counterpart to the religious right. Religious right versus labor left? : Here's a suggestion: the real opposite number to the religious right is the life-style left. And most of them are lodged in the Democratic Party as deeply as the religious right is in the Republican. Puzzled: Why not just religious conservatives?"
"Bridge column on Women's Knockout Team Championship at American Contract Bridge League's Summer Nationals in Miami Beach, Fla; diagrammed deal (M) ","With June Deutsch of Williams Island, Fla., Margie Gwozdzinsky and Susan Wexler, both of Manhattan, they won their semifinal Thursday by 118 imps against a group led by Linda Perlman of Delray Beach, Fla. After 48 deals in the final, Wittes's team led Freilich's by 39 imps."
"South African rand is hit hard for second time this year as foreign investors and currency traders express concern that President Mandela's Government may be losing its will to construct an open, liberal economic order and stem slide toward political instability at time when third of black population remains unemployed and violent crime is rising sharply; while some South African-supporters remain deeply impressed with Government, fact remains that Mandela Government is having increasing difficulty convincing its supporters that sacrifices are need now to spur economic growth (M) ","The South African rand is getting its second hammering of the year as foreign investors and currency traders worry that President Nelson Mandela's Government may be losing its will to force through the economic-liberalization measures it has proposed to increase growth and curb the country's mounting social ills. Andre Jonker of Rand International Securities, a New York trading house, thinks that the decline was set off by rumors about Mr. Mandela's health and reports that the Government might dismiss the conservative governor of the South African Reserve Bank, Christian Stals. Johnson of Merrill Lynch thinks it fell victim to the bond selloff in the United States, which encouraged investors to move out of South African bonds, as well."
"Judge Arthur D Spatt sentences Sidney Schwartz, age 80, to 18 months in prison following his conviction for running multimillion-dollar Ponzi scheme, Federal District Court, Uniondale, NY; sentence makes Schwartz one of oldest people ever sent to Federal penitentiary; Sidney Schwartz's son, Stuart, was sentenced last month to 43 months in Federal prison for his participation in scheme, which took in $8 million (M) ","An 80-year-old man convicted of running a multimillion-dollar Ponzi scheme was sentenced today to 18 months in prison, making him one of the oldest people ever sent to a Federal penitentiary.''There have been few cases involving a defendant of 80 years of age-- in fact I could not find any,'' Judge Arthur D. Spatt said in Federal District Court here as he sentenced Sidney Schwartz.'' Maybe the reason is that people, when they get to the age of 70, do n't commit crimes like this-- but not Sidney Schwartz.''Mr. Stuart Schwartz began a 43-month sentence last month in Federal prison in Fort Dix, N.J. In lieu of jail, he volunteered to assist elderly people with their tax returns, teach illiterate people and work in a hospital. He's hurt a lot of people.''"
"Race horse Cigar to run against five rivals in $1 million Pacific Classic, Del Mar race track; win will move Cigar ahead of legend Citation for modern North American mark for consecutive victories (M) ","Mott led Cigar around the circle outside the barn, stopping several times so that Cigar could pose for pictures. ' I did n't want to impose on the other trainers or horses. In the Pacific Classic, the six horses will all carry 124 pounds and will arrive at the post at 6:37 P.M., Eastern daylight time. Two other contenders were rated long shots: Dramatic Gold and Luthier Fever. Cigar ai n't putting no food in my mouth.''Horse"
"AIDS researchers seek to develop drugs, or even a vaccine, based on discovery that mutant gene can protect some people from infection with AIDS virus; one researcher expects other mutant genes to be found as factors in resisting HIV infection; these latest findings have transformed bleak outlook that had pervaded AIDS research for three years into mood of excitement (M) ","Scientists from the Aaron Diamond AIDS Research Center in New York City and from the Free University of Brussels reported on Thursday that the protection resulted from a mutant of a normal gene known as CKR-5 whose full function is not known. Fauci said many scientists at leading AIDS research centers in this country and elsewhere had begun exploring the new avenues of research. Fauci said that humans need the CD-4 molecule on immune cells for proper immune function. So the apparent safety of CKR-5 may'' overcome a potential stumbling block,'' Dr. Fauci said."
Busines Digest column of major news stories ,"Cigarette Maker Ordered To Pay Damages for CancerA Florida court ordered the Brown & amp; Williamson Tobacco Corporation, the maker of Lucky Strikes, to pay a record $ 750,000 to Grady Carter, 66, who got lung cancer after 44 years of smoking. It was only the second time the tobacco industry has been ordered to pay damages in a liability case, and the company's lawyer said an appeal was likely. Tumble on Tobacco NewsStocks tumbled after news of the tobacco judgment, reversing slim gains that had been inspired by a producer price report that showed inflation tamed. $ ( 41.$)Interest Rates at 4-Month LowPrices of Treasury securities surged after a report that prices at the producer level remained subdued in July."
"US officials are alarmed by tour of Islamic nations being undertaken by Turkey's new Prime Minister, Necmettin Erbakan, which begins with a visit to Iran; Erbakan presents US with serious policy concern, with potential to undermine US hopes for isolating 'rogue nations' like Iraq and Iran that support terrorism, pushing Syria toward a comprehensive peace with Israel and defusing tensions in the Aegean between Turkey and its NATO partner Greece; photo (M) ","The Welfare Party, which tripled its vote from 1987 to 1995 in traditionally secular Turkey, is feeding on popular discontent with the widely corrupt political elite. He and Mr. Abramowitz took part two weeks ago in a State Department seminar on the new Turkey. There's a great struggle over the future of Turkey, and Refah is part of it.''Mr. But a strongly Islamist Turkey would undermine nearly all those strategies and benefits. Some officials hope that the Government will crumble quickly, discrediting Mr. Erbakan's party."
"Existence of vampire enthusiasts in New York City discussed; they are part of perhaps few thousand nationwide; these occult followers came into view with news reports about disappearance of Susan Walsh, 36-year-old woman from Nutly, NJ, who was doing research for two authors on book about nation's carnal underbelly and wrote article of her own; Walsh, in doing research, befriended modern-day disciples of Dracula; while police refuse to discuss details of their investigation, friends and relatives of Walsh dismiss notion that so-called vampires were to blame; for many devotees, vampirism is merely kitschy game of dress-up, while for others, it is something deeper: romantic fantasy, sexual identity or even a religion; photos (M) ","I'm definitely part vampire,'' he says, citing his unusual overbite, lifelong distaste for sunlight and occasional taste for blood. He appears to be neither, but rather part of a small, loosely knit demimonde of vampire enthusiasts in New York City, an underground scene with its own music, nightclubs, wardrobe, periodicals and, in the case of some individuals, gustatory delectations. Guinn and other researchers say that people who consume blood include both occasional thrill seekers taking their fascination with vampire mythology to new heights ( or depths ) and true believers enacting a sexual fetish, pagan ceremony, psychological affliction or combination of all three. Blood drinkers come from the worlds of both vampire enthusiasts and sexual sadomasochists, representing a small minority in each, experts say."
"Suburban Paraco Corp, unit of Paraco Gas Corp, Purchase, NY, whose driver Peter G Conway was killed in fiery explosion in 1994 after his truck plowed into guard rail on Interstate 287, Westchester County, is charged with violating Federal safety regulations that limit number of hours that drivers can work without time off; Federal investigators say they found 93 falsified logs, 28 of them filed by Conway, from March 1992 to July 1994; while drivers file logs, company is responsible for their accuracy (M) ","A propane gas company whose driver was killed in a fiery explosion here two years ago after his truck plowed into a guard rail on Interstate 287 was charged today with violating Federal safety regulations that limit the number of hours drivers can work without time off. Federal investigators said that Peter G. Conway, 23, the driver who was killed in the July 1994 explosion that injured 23 people, had been on duty for 35 1/2 hours without 8 consecutive hours off when he died, and that he falsified several time sheets. If company officials had matched refinery tickets-- stamped receipts that record the time drivers pick up propane gas-- with the time sheets,'' they could have seen that the time sheets were not accurate,'' he said.''"
"People in gay rights and labor movements and in journalism are watching Sandy Nelson's lawsuit to win reinstatement to reporting duties at The News Tribune in Tacoma, Wash; she was reassigned to copy desk in 1990 because the newspaper felt that her off-duty activities in gay rights movement and with the leftist Freedom Socialist Party could provoke doubts among readers about the newspaper's commitment to professional objectivity; a superior court judge rejected her suit, which is now before Washington State Supreme Court; photo (M) ","In her nonworking hours, Ms. Nelson was a leader of an unsuccessful campaign to protect gay rights in Tacoma. Though she never covered gay issues-- her primary beat was education-- the paper said Ms. Nelson's political work could provoke doubt among readers about The News Tribune's commitment to professional objectivity. Now, on appeal before the Washington State Supreme Court, her case has attracted wide national interest from three disparate sources: gay rights, journalism and labor. Many journalists limit their political activity to voting. Ms. Nelson asked.' Outside of journalism circles, Ms. Nelson's case is the first to test a new Washington State law that was written to protect employees' political rights."
"Mark S Ferber, a former partner at Lazard Freres &amp; Co, is found guilty in Boston of defrauding the public agencies he advised by not disclosing to them a kickback contract between Lazard and Merrill Lynch &amp; Co, to which he steered a number of lucrative deals; ; conviction, a tough one to win because it dealt with issues of disclosure and trust, is considered a resounding victory for the Government's efforts to rid the municipal bond business of corruption and cronyism; Merrill Lynch and Lazard settled civil charges in 1995 by paying Government $24 million; photo (M) ","In one of the biggest criminal cases in municipal finance, a former partner at Lazard Freres & amp; Company, was found guilty in Boston yesterday of defrauding his clients by failing to disclose a kickback contract between Lazard and Merrill Lynch & amp; Company. The case touched some of the biggest names in the business of raising money in the tax-exempt municipal market, which is used primarily by state and local governments to pay for public works projects. Once one of the most powerful bankers in municipal finance, Mr. Ferber was found to have violated Federal laws by failing to tell his clients about the secret fee-splitting deal. ' We will see a great deal more scrutiny of public finance cases in the future than we have in the past. That was the largest settlement ever in municipal finance."
Letter from Elizabeth Winthrop calls for no-fault divorce in New York State (S) ,"To the Editor: My heart goes out to Anne T. Board after reading of her efforts to get a simple divorce in the Dickensian maze we call the New York State judicial system ('' 34 Months and Still No Divorce,'' Like Ms. Board, my spouse also decided to contest my divorce. It took me 58 months to get a divorce. The court conducted other business during the trial so the actual trial time each day was reduced. During much of the testimony, the judge read newspapers and documents for other cases. I concur with Ms. Board's recommendation for more administrative support, additional judges and greater continuity. Why ca n't we have no-fault divorce in this state? A judge in New York can decide not to grant a divorce because of insufficient grounds."
