abstract,summary
"Timothy Belknap letter praises Deborah Tannen's July 21 article on why some people cannot say, 'I'm sorry'; asks why others cannot say, 'I don't know' ","Deborah Tannen's article'' I'm Sorry, I Wo n't Apologize'' ( July 21 ) is first-rate in its approach to current social and power relations. I think that there is a parallel question: Why do so many people all along the chain of corporate and household command find it impossible to say,'' I do not know''?TIMOTHY BELKNAP Malden, Mass."
"Ana Areces letter on Deborah Tannen's July 21 article on why some people cannot say, I'm sorry'; says her ex-husband was one of them ","Tannen's piece on apologies-- and what they lack-- hit home with me. One of the reasons that my ex- husband is my ex is because he found it easy to say,'' I was wrong,'' but next to impossible to say,'' I'm sorry.'' The former is an intellectual acknowledgment of error, but the latter shows remorse and empathy for a fellow human being. ANA ARECES New York"
K J Steinberg faults Deborah Tannen's July 21 article on apologies for not taking a stand on this seemingly fundamental difference between men and women (S) ,Tannen's article was an apology in and of itself-- timid in its investigation of the always intriguing and seemingly inexplicable fundamental differences between men and women. Her hesitancy to assert a strong stance on the matter was discouraging and counterproductive. K. J. STEINBERG Chicago
"Denis Woychuk letter supports Megan's Law on the theory that sexual murderers and rapists of children give up all their rights, but warns that such laws promote a sense of security that is false (S) ","My congratulations for having the courage to print something other than a rousing affirmation of lifelong punishment for these offenders. As someone who was sexually molested as a child, I decided on a career specializing in the treatment of sex offenders, particularly pedophiles. Most of my patients are now leading normal lives, but they will need some form of therapy for the rest of their lives. Certain types of medication are also helpful. CAROLE J. THOMPSON Worcester, Mass. President, Addiction Consulting Corporation"
Susan Baum letter says literature is ahead of the movies in creating work that can inspire young women (S) ,"To the Editor: In'' The Movies Discover the Teen-Age Girl'' $ ( Aug. 11 $ ), Peggy Orenstein cites several sources of this healthy and long-overdue trend: Carol Gilligan's work, the strong voices in popular music of young women like Alanis Morissette, and some writers, notably Joyce Carol Oates. Since writing is one of the avenues that could never be entirely closed to women, a girl who loves to read can find strong role models from the 18th century on. In today's literature, the complexities of modern life are movingly traced by the many women who examine girlhood experiences: Mary Kerr, Dorothy Allison, Maya Angelou, Alice Munro, Alice McDermott and Bobbie Ann Mason, to name a few. THE TEEN-AGE GIRL"
W Royal Stokes letter says Peggy Orenstein's August 25 article on movies with good roles for teen-age girls failed to mention the 1990 Australian film Flirting (S) ,"To the Editor: In her article, Ms. Orenstein omits mention of the splendid 1990 Australian film'' Flirting,'' in which Thandie Newton gives a winning performance as a Ugandan teen-age student at an otherwise all-white girl's boarding school. Directed by John Duigan and cast with Noah Taylor opposite Ms. Newton, this perceptive film deals very effectively with racial themes as well as the anguish of adolescence. W. ROYAL STOKES Silver Spring, Md. THE TEEN-AGE GIRL"
Rachel Kramer Busel letter praises the film Stealing Beauty for its portraying a a young woman (S) ,"To the Editor: I enjoyed Ms. Orenstein's illuminating article, and, as a 20-year-old female somewhere on the border of teenhood and Generation X, I'm also pleased about the recent developments in movies featuring younger women. But Lucy is also an example of a young woman thinking for herself. Yes, most of the film deals with her romantic relationships, an all-too-typical scenario for teen-age women in movies, but so does much of Alanis Morissette's music. Lucy displays just as much courage, vitality and moxie as the character Cher in'' Clueless,'' just in a different way."
Milton Goldin letter deplores dominance of classical music scene by a few superstar artists performing the same music (S) ,"It is hardly a secret that sales of classical music records are plummeting, that even great ensembles find their audiences decreasing, and that only when public funds pay most of the staggering fees demanded by superstars like Messrs. Perlman, Ma, Pavarotti and Mehta can Lincoln Center and other arts centers survive financially. And if we have come to a point at which some individuals performing the same works the same way season after season define our understanding of the literature, Leonard Bernstein may be proved a hundred percent correct: Classical music is a museum piece of interest mainly to antiquarians."
"Preston Trombly letter comments on Bernard Holland's Aug 11 column, which discussed the question of why someone would write music but did not ask any composers for an answer (S) ","To the Editor: Mr. Holland asks his readers,'' Why does anyone write a piece of music?'' He says,'' The question is not an idle one.'' It is such an important question that he feels compelled to answer it himself, by offering a number of paragraphs of opinion masquerading as fact. If Mr. Holland had posed his question to several composers of concert music, without any preconceived notions about what the proper responses'' should'' be, their answers might have formed the basis for a thought-provoking article. PRESTON TROMBLY New YorkThe writer is a composer and the host of WQXR's'' New York Weekend.''COMPOSERS"
"Stephen L Bayne letter says why composers write, which Bernard Holland discussed in an Aug 11 column, has little to do with what they produce (S) ","To the Editor: The title of Mr. Holland's column is negated by the contents of the column and by the history of classical music. Masterpieces and musical garbage have been written both for hire and for the sake of'' art.'' It does n't seem to matter. In other words, the'' why s'' do not affect the'' what s'' in any consistent or predictable way. STEPHEN L. BAYNE SeattleCOMPOSERS"
Allan H Clark letter recalls piano classes given by Percy Grainger in Cincinnati in early 1950's (S) ,"To the Editor: To this day I recall Percy Grainger's spectacular piano master classes during a visit he made to Cincinnati in the early 1950's $ ('' Elevating Tunes Not His Own,'' Aug. 11 $ ). A Joycean tenor onstage sang the part of the lonely desert man to the accompaniment of marimba and ukulele while Mrs. Grainger rendered the tents in a wobbly soprano offstage. Grainger brought boundless creativity and energy to music. He was n't Bartok and he was n't Ives, but he made a wonderful Percy Grainger. ALLAN H. CLARK New YorkPERCY GRAINGER"
Jerome S Shipman letter replies to Larry Farsace's Aug 4 letter on Duke Ellington (S) ,"When Jolson heard their'' Swanee,'' he interpolated it into'' Sinbad,'' and his subsequent recording of the song made it Gershwin's first hit. And while Duke Ellington may have been more honest than Jolson in attributing compositions to their actual composers, he was sued by King Oliver, who claimed that his'' Camp Meeting Blues'' was appropriated by Ellington as'' Creole Love Call,'' and by Barney Bigard, who sought recognition as the co- composer of'' Mood Indigo.'' When Bigard won his suite, RCA Victor added his name to the composer credits on the labels of their records of'' Mood Indigo'' by the Ellington orchestra. DUKE ELLINGTON"
