abstract,summary
"Aiwa Co, electronics maker that was pioneer in moving manufacturing out of Japan in search of lower costs, plans to bring part of production back to Japan from Malaysia and other Asian nations; cites drop in value of yen and strategic factors (M) ","The decision by Aiwa is striking because the company was one of the earliest and most aggressive of Japanese companies in moving its manufacturing out of Japan in search of lower costs in the late 1980's. About 90 percent of the company's production is now outside its home country. But Aiwa said it would now shift some production of small tabletop stereos, its best-known product, back to Japan. One reason is that many Japanese companies, partly in response to the sharp rise of the yen that began in 1993, have been moving production offshore. Other Japanese companies have also recently began focusing more on domestic production."
"Susan Gallagher enters Massachusetts Senate for seat held by incumbent Sen John Kerry and may siphon votes away from Gov William F Weld, who had recently been gaining in polls; polls conducted by Time Magazine/CNN and Pew Research Center are at odds over notion that Democrats may make substantial gains, or even retake control of House, in Nov election; Pew survey shows Republicans gaining in popularity, while Time/CNN shows Democrats with 47 to 41 percent among voters; Presidential campaign of Bob Dole handled his unveiling of economic plans as if they were state secret to prevent Clinton camp from upstaging them (Political Briefing) (M) ","Massachusetts New Factor in Race For a Senate SeatThe contest between Gov. William F. Weld of Massachusetts and Senator John Kerry for Mr. Kerry's seat in the Senate has been narrowing-- one poll had Mr. Weld trailing by 13 percentage points last spring, but by just 4 percentage points late last month-- but now Mr. Weld has another problem. In a close race, even a few percentage points could prove fatal to Mr. Weld's chances. Alas, the Dole campaign's security proved little better than that at the Clinton White House under Craig Livingstone, the former head of the White House personnel security office involved in the review of F.B.I. files."
"Israeli Prime Min Benjamin Netanyahu ends first visit to Jordan with reassuring words on several fronts, including prospect of resumption of peace talks between new Likud Government and Syria; Netanyahu and King Hussein, at joint news conference, say both sides discussed Syria's interest in renewed talks, as well as problems with economic initiatives that were supposed to be carried out under Israeli-Jordanian peace treaty of 1994 (M) ","The first visit of Benjamin Netanyahu as Israeli Prime Minister to this neighboring Arab country ended today with reassuring words on several fronts, including the prospect of a resumption of peace talks between his new Likud Government and Syria. The Prime Minister also said he hoped that the Israeli troop redeployment around the West Bank city of Hebron, originally scheduled for March, would take place within two weeks if talks with the Palestinians resumed. We have gotten wiser.''Correction: August 7, 1996, WednesdayBecause of an editing error, an article yesterday about a visit by the Israeli Prime Minister to Jordan misstated the timing of Israel's capture of the Golan Heights."
"City of San Diego reaches draft agreement to buy several billion gallons of water from new source, namely, farmers in Imperial Valley who are beyond reach of Metropolitan Water District, Los Angeles-based government monopoly; city leaders characterize move as prudent step to diversify water supply in drought-prone region, but most Californians recognize it as brash assertion of independence; ever since World War II, San Diego has chafed at being almost completely dependent for fresh water on regional monopoly largely controlled by nemesis, Los Angeles; map; photo (M) ","City leaders characterized the move as a prudent step to diversify the water supply in this drought-prone region. Water is the basis of economics here. So the water district is playing hardball. Constructing a new aqueduct to the valley, which gets its water from the Colorado River, would cost San Diego up to $ 3.5 billion and take, perhaps, 15 years. That remains Los Angeles's principal water supply. The city now gets about 90 percent of its water from the Met and is the district's largest customer, using 25 percent of the annual supply. The deal's proponents in the valley argue that the water sold to San Diego would be made available through conservation. In this country, you just do n't rush when water is involved.''"
"San Jose, Calif, jury recommends death penalty for Richard Allen Davis, convicted for kidnap-murder of 12-year-old Polly Klaas in 1993; members of Klaas family laud decision; photos (M) ","A jury today recommended the death penalty for the man who kidnapped 12-year-old Polly Klaas from a slumber party at her Northern California home in 1993 and murdered her near an abandoned lumber mill. The 42-year-old killer, Richard Allen Davis, appeared to smirk as the unanimous verdict was read. Polly's grandfather, Joe Klaas, said the verdict marked the end for his family of'' a 34-month, agonizing journey toward hell.'' Mr. Davis, he added,'' can go the rest of the way alone.''The crime had shocked people around the country. Polly's father, Marc Klaas, said he would attend Mr. Davis's execution.''It will be nice to see him go down,'' Mr. Klaas said,'' but nobody likes to see a death, except people like Davis.''"
"Market Place column notes Robert E Stansky has surprised Wall Street in first month as manager of Fidelity Investments' Magellan fund, nation's biggest mutual fund, by making no major portfolio changes; drop in fund's net asset value in month has exceeded drop in Standard &amp; Poor's 500 index (M) ","In his first month as manager of Fidelity Investments' Magellan fund, the country's biggest mutual fund, Robert E. Stansky surprised Wall Street. Nor did Mr. Stansky make big changes in the Magellan fund's allocation of assets across various sectors of the stock market. In addition, Mr. Stansky also held onto much of the Magellan fund's big positions in cyclical stocks in his first month. But the stock market roared through the first five months of the year, leaving the Magellan fund far behind other mutual funds that specialize in growth stocks. Many analysts questioned whether the Magellan fund should hold bonds at all, though the fund's prospectus states it might do so."
"Two people are killed and two others are critically wounded during botched robbery at Deptford Mall in Gloucester County, NJ; shootout, between armored-car guard and robber, leaves bandit and bystander dead; guard and teen-age girl are critically wounded; map (M) ","Hours after the shooting at the Deptford Mall, about 10 miles south of Camden in Gloucester County, the authorities said at least two other robbers were being sought. The police recovered a maroon Honda on a road next to the mall and found a weapon inside the car. Vizi said the guard was in a large hallway near the main mall entrance when he encountered the gunman.'' Vizi said several shoppers told of seeing the dead gunman's confederate race down a flight of stairs to another busy shopping level, firing his weapon in the air, then going out a lower entrance and fleeing in a red car."
"Two gunmen rob popular TriBeCa restaurant Nobu on Aug 5, shooting and slightly wounding three employees; robbers take undisclosed amount of money; police arrest suspect Peter Agron (M) ","Two gunmen staged a robbery at a popular TriBeCa restaurant early yesterday, shooting a waitress, a sushi chef and a dishwasher before fleeing. The three employees of the restaurant, Nobu, were not seriously injured, and the robbers took an undisclosed amount of money. At the time of the robbery, there were no customers in the Hudson Street restaurant, which is owned by the actor Robert De Niro and the restaurateur Drew Nieporent, among others. Nieporent, one of the best-known restaurateurs in America, has built his reputation on the cluster of TriBeCa restaurants that he owns. receipts.''The police said the bandits entered the restaurant at 105 Hudson Street just after 12:30 A.M. About a dozen workers were still in the restaurant."
"Conductor Lukas Foss will be host of benefit reception and tour of composer Aaron Copland's home in Cortlandt Manor, NY, on Aug 11; Copland Heritage Association plans to transform house into residence for early- and mid-career composers (S) ","LUKAS FOSS was a 15-year-old musician and AARON COPLAND a renowned composer, when they met about six decades ago. They remained friends until Mr. Copland died in 1990.So Mr. Foss seemed a natural choice as the host at a benefit reception and tour of Mr. Copland's home, Rock Hill, in Cortlandt Manor, N.Y., on Sunday. It will be the first tour of the house, which the Copland Heritage Association of Cortlandt plans to transform into a residence for early- and mid-career composers. Copland became Mr. Foss's mentor, and in 1959 they went to the Soviet Union together.'' So the State Department decided to pick the great dean of American composers, Aaron Copland, and the enfant terrible, Lukas Foss, to make up the difference."
"Section of parapet wall on 21st-floor of Herald Square Building collapses under weight of what authorities call improperly rigged scaffold; Pedro Ricardo Oblitas, workman on sidewalk, is struck by falling bricks and killed; two pedestrians are injured by falling debris; Augusto Malaspina, workman on scaffold, falls two stories in rig and is seriously injured; photo (M) ","A 10-foot section of parapet wall high up on a garment center office building collapsed under the weight of what authorities called an improperly rigged scaffold yesterday, and a deadly cataract of bricks and coping stones roared down on workers and pedestrians on a busy sidewalk. The workers, Mr. Sturcken said, had hung the scaffold with a'' spider rigging'' that required a special permit from the city. People who answered telephones at Supreme Building Maintenance and C.S.I. Cleaning Service Industries said there would be no immediate comment. While Helmsley-Spear did not amplify, city officials said the permit to which it alluded was apparently a general permit for work on the building, and not the special permit required for the use of spider rigging."
