abstract,summary
"Chronology of conflict between Kurds and Iraqi Govt since 1988; military forces of US, Iraq and warring Kurdish factions compared; map; drawings (M) ","IRAQI FORCESThe Iraqi military is a shadow of the 1.2 million-man force it was at the start of the Persian Gulf war. KURDISH THE BOMBINGUnited States forces based in the Persian Gulf fired 27 cruise missiles at four areas in Southern Iraq early yesterday. U.S.S. SHILOH Fired 6 Tomahawk cruise missiles TYPE: Guided-missile HOMEPORT: Two B-52's fired 13 conventional air-launched cruise missiles. CRUISE MISSILES PRELUDE TO THE AMERICAN MISSILE STRIKE1988: Iran-Iraq war ends. January-February 1991: American-led alliance conducts air war and brief ground war, expelling Iraq from Kuwait. Fighting erupts between the two main Kurdish factions in northern Iraq."
"US launches second cruise missile attack against Iraq's southern air defenses, hours after Pres Clinton vowed that he would make Pres Saddam Hussein pay price for attacking Kurdish enclave in north; officials describe new attack as 'mop-up operation' intended to eliminate air-defense sites not destroyed in earlier mission and to underscore message to Hussein that he must end military action; Clinton orders 60-mile extension of Iraq's southern no-fly zone; says US has limited objectives but clear national interest in strikes against Iraq, which will head off need for more costly military operations later; says they will demonstrate that reckless acts have consequences, reduce Saddam Hussein's ability to strike out against neighbors, and increase US ability to prevent future acts of violence and aggression; Hussein vows to disregard flight restrictions and to shoot down any foreign aircraft over Iraqi territory; US draws only limited support from allies; Britain, Germany, Canada and Japan are supportive, but France and Spain say diplomatic action would have been preferable; Arab world is divided; Russia and China are sharply critical; photos (M) ","The United States launched a second missile strike against Iraq's southern air defenses tonight, just hours after President Clinton vowed that he would make President Saddam Hussein'' pay a price'' for sending his troops into the Kurdish enclave in northern Iraq. In other moves to punish the Iraqi leader, Mr. Clinton today ordered a 60-mile extension of the area in southern Iraq where the United States and its allies banned the use of Iraqi aircraft after the 1991 war. The attacks today came after Mr. Hussein sent tanks and artillery on Saturday into a zone in northern Iraq established by the United States and its Western allies to protect the Kurds. Hussein.''The officials also said that the military action by the United States was in its own national security interest. RAID ON IRAQ:"
"Nineteen people died in automobile accidents in New Jersey over Labor Day weekend, up from six last year (New Jersey Daily Briefing) (S) ","Nineteen people died in automobile accidents in New Jersey over the Labor Day weekend, up from six last year, the state police said yesterday. Part of the rise may be attributed to a change in the tracking system: the holiday weekend officially began at 12:01 A.M. Friday instead of 6 P.M., and six of the deaths occurred before 6 P.M. Three of the accidents were determined to be alcohol-related, while six were still being investigated, said Sgt. Daniel Cosgrove, a police spokesman. NEW JERSEY DAILY BRIEFING"
Frank Smith is arrested and charged with robbing tollbooth on Garden State Parkway in Sayreville (New Jersey Daily Briefing) (S) ,"An Irvington man was arrested early yesterday and charged with robbing a tollbooth on the Garden State Parkway. According to the state police, the man, Frank Smith, 32, pulled his car over to the shoulder at the Raritan South toll plaza in Sayreville late Monday, forced his way into a tollbooth, shoved the toll collector aside and took an undisclosed amount of money. An hour later, a South Amboy police officer recognized Mr. Smith's car from a broadcast description and pulled him over. He had three bills that had been marked by the toll collector, said Al Della Fave, a state police spokesman. NEW JERSEY DAILY BRIEFING"
"American Civil Liberties Union of New Jersey appoints new legal director, Lenora M Lapidus (New Jersey Daily Briefing) (S) ","The American Civil Liberties Union of New Jersey has appointed a new legal director, Lenora M. Lapidus, the organization said yesterday. Ms. Lapidus, 33, a public interest lawyer in Newark, replaces Marsha Wenk, who died in March. Top priorities for the A.C.L.U. are challenges to a law authorizing AIDS testing for people charged with sexual assault and to Rutgers University's refusal to provide benefits to domestic partners of lesbian and gay employees, Ms. Lapidus said. NEW JERSEY DAILY BRIEFING"
"Group of drugs shown to have prolonged lives of some people with AIDS will be available free starting Oct 1 to some 1,700 New Jerseyans who earn less than $30,000 a year; drugs, known as protease inhibitors, can cost as much as $14,000 per year (New Jersey Daily Briefing) (S) ","A group of drugs shown to have prolonged the lives of some people with AIDS will be available free starting Oct. 1 to some 1,700 New Jerseyans who earn less than $ 30,000 a year, Len Fishman, the State Health Commissioner, said yesterday. The drugs, known as protease inhibitors, can cost as much as $ 14,000 a year, Mr. Fishman said. They will be added to the list of medications provided through the AIDS Drug Distribution Program, which is financed mainly with Federal money. New York State has already included the new drugs in its distribution program. NEW JERSEY DAILY BRIEFING"
"Casino Assn of NJ reports that, after dipping slightly in July, casino revenues set a monthly record in August; Atlantic City's 12 casinos took in $374 million, a 3.1 percent increase over last August (New Jersey Daily Briefing) (S) ","After dipping slightly in July, casino revenues set a monthly record in August, the Casino Association of New Jersey reported yesterday. The city's 12 casinos took in $ 374 million, a 3.1 percent increase over last August, the association said. Trump Plaza showed a gain of 32.8 percent, the highest in town. The city's newest casino, Trump's World's Fair, which opened in May, is considered part of the Plaza for revenue-reporting purposes. NEW JERSEY DAILY BRIEFING"
"New Jersey education officials say that seven years after state seized control of Jersey City's ailing public schools, students' scores on standardized reading, writing and math tests are still too low to justify returning district to local control (New Jersey Daily Briefing) (S) ","Seven years after the state seized control of Jersey City's ailing public schools, students' scores on standardized reading, writing and math tests are still too low to justify returning the district to local control, a state education official said yesterday. While scores improved in all three subjects, only 70.8 percent of the fourth graders passed the reading test, 61.7 percent of the eighth graders passed the math test, and 11th graders fell short in all categories, according to figures from the State Department of Education. Today, Education Commissioner Leo F. Klagholz will formally recommend that the district remain under state control for another year, said Richard Vespucci, a department spokesman. NEW JERSEY DAILY BRIEFING"
"Commission recommended this year that borough and township of Princeton be merged, but question may not appear on November ballot since no one filed measure with Mercer County Clerk (New Jersey Daily Briefing) (S) ","A commission recommended this year that the borough and township of Princeton be merged, but the question may not appear on the November ballot since no one filed the measure with the Mercer County clerk. According to Catherine DiCostanzo, the clerk, the filing deadline for ballot questions was Aug. 23. But clerks for the borough and township say that they have until 60 days before the election, or Sept. 6, and yesterday they asked the Superior Court to compel Ms. DiCostanzo to put the measure on the ballot, said Michael Herbert, a lawyer for the borough. Meanwhile, a group called Preserve Our Historic Borough, which is opposed to the merger, was permitted to join the court action on the county's side, the group's lawyer, Alan Karcher, said."
"Ruth Stafford Peale, who was married to Norman Vincent Peale for 63 years before his death in 1993, to mark her 90th birthday in Sept 13 by unveiling life-size bronze sculpture of her husband by John Soderberg (S) ","RUTH STAFFORD PEALE was married to Norman Vincent Peale for 63 years before his death in 1993, so when she turns 90 on Sept. 13, she will mark the occasion by unveiling a life-size bronze sculpture of her husband by JOHN SODERBERG of San Francisco. Staff members of the Peale Center for Christian Living in Pawling, N.Y., and of Guideposts, the magazine the couple founded in 1946, along with her three children, friends and neighbors will gather at the center for an afternoon reception. When Mrs. Peale heard that Mr. Soderberg was working on a sculpture of her husband, she met with him and decided it should be in Pawling.''It is very vibrant,'' she said.''"
