abstract,summary
"Boston Red Sox defeat New York Yankees, 7-5; photos (M) ","Those are directions to the Yankee Stadium bullpen, and that's where Dwight Gooden's new baseball home should be in October. He is fatigued, he has scant confidence and he would be a detrimental starter.''It was n't one of his better games,'' said Manager Joe Torre, who, curiously, said Gooden was still in contention for a post-season start.'' But Gooden's laborious 98-pitch fiasco tonight after one week of rest should erase him from any of the four starting spots. Gooden is 1- 2 with a 5.71 e.r.a. versus Texas. Torre cited Cone's experience in selecting him over Andy Pettitte, a 21-game winner who will pitch two innings Saturday and start in Game 2.''The experience, you ca n't buy that,''"
"North Korea warns that rising tensions over grounding of its submarine off South Korea might lead to war, and it suggests that it might have to attack South (M) ","The dispute broke out on Sept. 18 when a 325-ton North Korean submarine ran aground in South Korea. It is believed that 26 North Koreans slipped ashore, armed with sidearms and machine guns, some disguised in South Korean military uniforms. South Korea denounced the incursion, but the North responded today by condemning the way South Korea had carried out an intensive manhunt for the infiltrators. So far South Korean troops have captured one commando alive, killed 9 and found 11 already dead, possibly murdered by other North Koreans; they are searching for 5 others.$(South Korean troops killed a 10th infiltrator on Saturday, Reuters reported, quoting the Defense Ministry."
"Lt Gen Pavel A Sudoplatov, legendary Soviet spymaster, dies at age 89; exploits, including death of Leon Trotsky, recounted; photo (S) ","General Sudoplatov said that Oppenheimer and the other scientists passed the secrets to people they knew to be Soviet agents and that they did so both because they wanted to help the Soviet Union defeat Hitler and because they believed that spreading knowledge of the secrets of making nuclear bombs would promote world peace. General Sudoplatov directed Communist underground activities against Nazi Germany in World War II. He was the scientific director of the Los Alamos laboratory, where the first atomic bomb was made, not the head of the Manhattan Project."
"New Jersey Nets new coach, John Calipari, is treating players to posh Florida training camp and luxury hotels in effort to boost team; photo (M) ","Coach John Calipari is counting on a luxury tax of sorts, a payback for the star treatment he gives his players: fly a guy first class, and he'll upgrade his game in return. The upgrade is n't just for the Nets' training camp. Sounds like a Pat Riley camp. Calipari will enter his first National Basketball Association camp with similar control and salary, as well as hair gel. So far, Calipari's off to a good start. Before camp opens, Calipari has arranged to have all the players' families stay at the resort this weekend. REBOUNDSKEVIN EDWARDS is in rehabilitation for his knee injury and will not be in training camp...."
"Philadelphia Phillies defeat New York Mets, 6-5; photo (M)y ","Within hours of undergoing arthroscopic surgery on his throwing arm, Jason Isringhausen was in uniform in the Mets' dugout eager to watch batting practice.' Isringhausen had four bone chips-- two large ones, two small-- removed from his right elbow and a tear in the labrum of his right shoulder repaired during a two-hour procedure at the Hospital for Special Surgery in Manhattan. The Mets dodged a scare yesterday when a magnetic resonance imaging test on Paul Wilson's throwing shoulder showed no structural damage. Isringhausen said he has a small tear in the ligament in his elbow. PITCHThe Mets could not hold a 4- 3 lead for PETE HARNISCH as the Phillies rallied for three runs in the eighth inning and a 6- 5 victory at Shea Stadium last night."
"Zhao Ziyang, former General Secretary of China's Communist Party, is living out his days in kind of internal exile that is reserved for purged party bosses; Zhao in 1989 refused to order military crackdown against pro-democracy demonstrators occupying Tiananmen Square; his photo (M)D ","Only seven years ago, Mr. Zhao was at the very apex of power as General Secretary of the Communist Party. But now, Mr. Zhao's voice is being heard again-- however indirectly-- in the Chinese capital, where he has summoned old friends in the party establishment to his courtyard to vent his anger. Zhao is said to be livid over the publication of a book that suggests that he was disloyal to Hu Yaobang, the Communist Party chief he succeeded in 1987 and who was so admired by the Chinese that his death in April 1989 sparked the Tiananmen demonstrations. But Mr. Zhao's complaint has circulated widely in Beijing."
"Defense Sec William J Perry, after meeting of NATO defense ministers in Norway, says Estonia, Latvia and Lithuania are 'not ready' for inclusion in Western military alliance (S)&#xFFFD; ","The United States today dashed the hopes of Estonia, Latvia and Lithuania that the three Baltic nations would be among the first new NATO members drawn from Eastern Europe. Defense Secretary William J. Perry said after a meeting of NATO defense ministers here that the three nations were'' not ready'' for inclusion in the Western military alliance. Russia has opposed NATO expansion, and it has been adamant that Estonia, Latvia and Lithuania remain outside the Western alliance both because of their proximity to Russia and because of their treatment of Russian ethnic minorities."
"San Diego Padres defeat Los Angeles Dodgers, 5-2, to clinch at least tie for National League wild-card berth (M)&#xFFFD; ","The San Diego third baseman, who needs shoulder surgery after the season, may have delayed the operation a while. His heroics gave the Padres a 5- 2 victory over the sloppy Los Angeles Dodgers tonight and clinched San Diego at least a tie for the National League wild-card berth. The Dodgers-- who clinched at least a wild-card berth with Montreal's loss to Atlanta tonight-- could have clinched the division with a victory, but their lead is now trimmed to one game with just two to play. Steve Finley opened with a sharp single to left, and Caminiti followed with a spinning line drive to the left-field corner off of reliever Antonio Osuna ( Should the Padres win again, it would all boil down to a winner-take-all game for the division title on Sunday."
Western Resources Inc says its Westar Security unit has acquired Safeguard Alarms Inc in another move to expand in Kansas City market (S) ,"WESTERN RESOURCES INC., Topeka, Kan., said its Westar Security unit had acquired Safeguard Alarms Inc. in another move to expand in the Kansas City market. Terms were not disclosed. NEW YORK BANCORP INC., Douglaston, Queens, a bank holding company, said it planned to buy back up to 10 percent of its common stock. As of June 30, the company had 11.5 million shares outstanding. COMPANY BRIEFS"
New York Rangers announcers will read commercials selling New Jersey Devils tickets when Rangers play Devils at Meadowlands tonight (S) ,"When the Rangers play the Devils at the Meadowlands tonight, the Ranger announcers on the Madison Square Garden network will read commercials selling Devils tickets. According to LOU LAMORIELLO, the president and general manager of the Devils, the MSG Network has to broadcast the commercials because it decided to televise the game from the Devils' arena before getting approval from the Devils.''They evidently assumed they could broadcast that game, and they needed permission to do so,'' Lamoriello said.'' slightly different story comes from Madison Square Garden, where JOSEPH M. COHEN, the executive vice president, supervises the television operation. Cohen said MSG had bought telecast rights from the Devils for an undisclosed sum before making the agreement to broadcast the Devils commercials.''Lou and I got into,' What can you do for me?"
