abstract,summary
Playground in Newark's East Ward is first of three in city to be renovated by Trust for Public Land; effort is part of trend among nonprofit groups and corporations to build urban playgrounds; table; photos (M) ,"The St. Columba Peace Playground, just completing its first summer, is the first of at least three Newark playgrounds scheduled to be rehabilitated by the Trust for Public Land, a San Francisco conservation group. After a decadelong effort, the school raised $ 210,000 for a new playground with the help of the Trust for Public Land, the Prudential Foundation and other groups. The St. Columba Peace Playground, for which ground was broken in November, sprang from suggestions made by the children and the community. Sister Mary would be the first to say that the St. Columba playground is'' still not a perfect neighborhood.''"
"Interview with Cynthia Kuby, first woman to operate earth-moving machinery in New Jersey and first and only female heavy-equipment instructor in nation; she works as trainer for International Union of Operating Engineers local; photos (M) ","Kuby, who is in her mid-30s, has driven big machines for 18 years-- the first woman in New Jersey to do so. , Ms. Kuby was a shy 20-year-old union newcomer, the first woman to try to do anything at Local 825 besides type and file. That woman, afraid for her job, did not file a complaint. But many of those first women quit. From that class until 1985, Local 825 hired 45 more women. During the past 10 years, 50 women have graduated from the union school. '' Next to my parents I just respect this woman. ' I've come extremely far for a woman,'' she said.''"
"If You're Thinking of Living In article on Westwood, NJ; map; table; photos (M)&#xFFFD; ","THE lights seem to flicker off a little later at night in homes set along quiet tree-lined streets in the Bergen County Borough of Westwood. The unlikely mix somehow blends comfortably along many of Westwood's winding streets. MANY newer residents say they moved to the town because of the affordability and variety of housing, as well as its fine schools. It is the only school system in the county with both elementary and high school education under the same administration. The largest is the 120-unit Roxbury Condominiums town-house development. Many residents, though, still prefer the Iron Horse just across the tracks from Westwood Center on Washington Avenue, well known for its hamburgers and ribs. In / Westwood, N.J."
"Museum of Early Trades and Crafts, Madison, NJ, has begun major renovation after million-dollar fund drive; reconstruction involves reorientation of way museum sees itself; photos (M) ","A small exhibition on the history of Labor Day will be mounted just inside the doors of the museum's Victorian-era building. The James Library Building, with its ribbed vaulting and stained-glass windows, also has strong overtones of a Gothic church. The building was Madison's public library from 1900 until the 1960's, when the town built a modern library. As Ms. Zopes showed off the James building, she cheerily participated in the demolition by occasionally using her fingers to pry off some of the flimsier elements of the wooden village."
"Vivien Raynor reviews exhibtion of sculptures by Jim Toia at Morris Museum, Morristown, NJ; photo (M) ","TEA BAGS were what drew my attention to Jim Toia used tea bags laid on a shelf at eye level. In the nine years since he emerged a bachelor of fine arts from Bard College, Mr. Toia has had seven exhibitions and participated in numerous group shows. But the Morris Museum here is the first to accord him a solo-- in its recently revived New Jersey Artists Series. The most obvious result of his tampering, and perhaps the most successful, lies in the field beside the museum. The Brothers Olaf and Their Siamese Twin Sisters,'' a two-part work reposing on the balcony of the museum's greenhouselike extension. JIM TOIAMorris Museum 6 Normandy Heights Road, MorristownEnvironmental sculptures. Part of the New Jersey Artists Series. ART REVIEW"
Students and teachers respond to question about what would make this year a great school year for them (M) ,"No!I pray and hope that all my students at Roselle Catholic High School enjoy learning as much as I enjoy teaching biology and advanced biology. A great school year also includes no snow or sleet!MARY JOAN BERGER West OrangeA Lot of One's OwnThis would be a great school year if my school had a parking lot for juniors. the MoneyI am a mother of one and a full-time college student. , I have been an art teacher at Benjamin Franklin Middle School in Ridgewood. It's great to teach in a school that works! A great school year includes motivating teachers as well as students who are interested in learning. Too many college students want the easy way out."
Federal Centers for Disease Control and Prevention finds mothers of newborns in New Jersey are staying in hospital 10 to 12 extra hours now that state law requires insurance companies to pay for longer stays (S) ,"Mothers of newborns in New Jersey are staying in the hospital 10 to 12 extra hours now that the state has a law requiring insurance companies to pay for longer stays, according to a study by the Federal Centers for Disease Control and Prevention. In June 1995, New Jersey joined 27 other states in requiring insurance companies to pay for two days in the hospital after a vaginal birth and four days after a Caesarean section if either the doctor or the mother requested it. Until then, they paid for only one day unless a longer stay was considered medically necessary. Additional studies will be done to determine whether the longer stay enables doctors to detect disorders and helps new mothers feel more confident about taking care of their babies, the C.D.C. said. KAREN DeMASTERSIN BRIEF"
Fran Schumer article on preparing school lunches; recipes; photo (M) ,"MY children attend a school that encourages parents to observe and participate in all aspects of school life. Refrigerate overnight in an airtight plastic container. Pair with fortune cookies or homemade almond cookies ( a nice sendoff; see recipe ) and a small, leakproof container of pineapple packed in its own juice. ( Your 90's child will probably remind you to recycle the plastic fork, spoon and other paraphernalia.)SANDWICHES Neither peanut butter nor cream cheese will mutilate rock-solid slices, which are also less porous and vulnerable to the dreaded jam-leak. Courtesy Ann Byrd Schumer)Total time: 35 minutes2 eggs3/4 cup sugar2/3 cup oil1 tablespoon orange juice2 teaspoons almond extract2 cups sifted flour1 teaspoon baking powder1 teaspoon salt1 tablespoon water1/3 cup ( about 24 ) whole blanched almonds1. Grease cookie sheet. Brush cookies lightly with egg wash."
"Susan Jo Keller reviews Ruth's Gourmet, Fort Lee, NJ, takeout shop; photo (S) ","Then Ruth Artinian says,'' You have to try my chicken.''And One day I am going to be very famous,'' she says, dreaming of a franchise empire to rival Kentucky Fried or Boston Chicken. Catering is still the heart of Mrs. Artinian's business, run from her kitchen above Ruth's Gourmet. Someday Mrs. Artinian may find time to finish a cookbook, sharing everything she knows about cooking- except her chicken recipe. Ruth's Gourmet, 210 Main Street, Fort Lee. Hours: 9 A.M. to 6 P.M. Monday through Friday; 10 A.M. to 3 P.M. Saturday. SUSAN JO HELLERQUICK BITE / Fort Lee"
"Paterson, NJ, area textile plants and Amalgamated Clothing &amp; Textile Union, which had bitter 18-month strike that began in fall of 1993, are renegotiating contract in far more peaceful atmosphere; photo (M) ","Nearly 1,000 workers in and around Paterson were out of work for 18 months. Proud blue-collar workers had to borrow money from relatives and the union and accept gifts of food. Now workers and managers are again sitting down together. Luis Ginorio, a union director, said:'' Management has seen a different side of the union. Nor do the leaders of Trio or the 20 or so textile companies involved in the strike. The once-great Paterson textile industry, which at its height employed 40,000 workers, is much smaller.'' There's a whole new feeling, a whole new concept about Paterson's union."
