abstract,summary
"Republican Presidential candidate Bob Dole, likening his campaign to Hideo Nomo's no-hitter, mistakenly identifies Nomo as member of Brooklyn Dodgers (M) ","Bob Dole was in the right place at the right time and trying to hitch his fortunes to the right championship baseball team today. Dole began a speech in West Hills, a section of Los Angeles, with a tribute to the city's latest hero, Hideo Nomo, the Dodger pitcher who threw a no-hitter against the Colorado Rockies at Coors Field in Denver on Tuesday night. That was no small matter for the Dodgers, a team that is in a close fight for the National League's Western Division lead with its neighbor to the south, San Diego. Dole continued his speech, giving no indication either by word or facial expression that he had said anything amiss about the team that left Brooklyn and moved to Los Angeles after the 1957 baseball season."
"Reform Party Presidential candidate Ross Perot, in speech to Commonwealth Club of California, denounces decision to exclude him from Presidential debates as 'blatant display of power by the Republicans and the large donors who fund their campaigns'; vows to seek restraining order to delay all television debates until public opinion forces Commission on Presidential Debates to allow him to participate; cites Harris Poll where 76 percent of respondents said they want Perot in debates; Democrats and Republicans have proposed that first debate be held on Oct 6; photo (M) ","Mr. Perot asked in his first public response to the commission's decision on Tuesday to limit the debates to President Clinton and Bob Dole. As a result of the commission's ruling on Presidential debates I expect that probably we should bring in Bosnia and Haiti to send poll watchers to clean up the election process.''Although Dole strategists have sought to keep Mr. Perot out of the debates, believing he would drain away votes from the Republican. But they roared back after the debates.'' Among them is a regulation by the Federal Election Commission that requires organizations sponsoring debates to establish'' objective criteria'' for who may participate."
"RU-486, or mifepristone, abortion-inducing drug, has cleared last major obstacle to marketing in US by receiving conditional approval from Food and Drug Administration; Population Council, drug's sponsor, says it hopes to have pill, long available abroad, on American market by mid-1997; FDA asks for additional information about drug's labeling and manufacturing process; council's announcement comes on eve of hotly contested abortion vote in House, and adds to newly developing furor over issue (M) ","The F.D.A. asked for additional information, however, involving the drug's labeling and the manufacturing process. The House vote, scheduled for today, concerns a kind of late-term procedure that abortion opponents call a'' partial birth abortion.'' In contrast, the Democrats once more adopted abortion rights language in the platform at their own convention. And it has taken on almost mythic dimensions among abortion opponents and abortion rights advocates alike. On March 18, the group submitted to the F.D.A. a 164-volume application for permission to market the drug. On July 19, an F.D.A. advisory board recommended approval. She said women would probably pay about $ 350 for the drug regimen, about the same as the price of a surgical abortion."
"MetroStars clinch playoff berth by beating Columbus Crew, 1-0 (M) ","To accommodate television, the first playoff game will be here Tuesday night and the second game will be at Washington next Friday night. The MetroStars finish the regular season on Saturday with a meaningless game at Tampa Bay, the top team in the conference and the league.''The playoffs was our first target His goal helped end Columbus's eight-game winning streak and gave added meaning to Saturday night's game between Columbus and New England at Foxboro Stadium: it will determine the fourth and final playoff spot in the conference. The winner will meet Tampa Bay in the first round of the playoffs. The 33-year-year-old Caricola is the most experienced defender for the MetroStars and it would be a severe loss to the team if he were not available for the playoffs."
"Space shuttle Atlantis docks with Russian space station Mir in prelude to bringing home American astronaut Shannon W Lucid, who has spent six months aboard Russian outpost (M) ","The shuttle Atlantis and the Russian space station Mir completed a long orbital waltz last night by linking up high above Earth, a prelude to bringing home an American astronaut who has spent half a year aboard the Russian outpost. Members of the shuttle crew moved into the space station, and the Russians offered the Americans bread and salt, a traditional greeting. The shuttle is to stay connected for five days with the space station, forming a 250-ton complex that is the largest structure ever assembled in space and enabling the Russian and American astronauts to conduct joint studies and exchange supplies. Lucid has shown good humor about her extended stay in the space station, 240 miles above Earth."
"New York City Police Officer Louis Dellapizzi, who was searching for man wanted on arrest warrant shoots and kills another young man, identified as Joseph Stevens, who pulled gun when officer confronted him in Harlem; map (M) ","A police officer searching for a man wanted on an arrest warrant shot and killed another young man who pulled a gun when the officer confronted him early yesterday, investigators said. Police officials said yesterday that they were not sure whether the officer, Louis Dellapizzi, had confronted the man, Joseph Stevens, 20, because he resembled the suspect, or because he realized that Mr. Stevens had a gun. When Officer Dellapizzi confronted the man, there was a struggle, the police said. Officer Dellapizzi shouted for help and the man pulled out a semiautomatic pistol, Mr. Simonetti said. Police! She also said of Mr. Stevens,''"
"Cordiant PLC, which owns agencies including Saatchi &amp; Saatchi Advertising Worldwide, says it has agreed to acquire remaining 47 percent of French operations of Saatchi &amp; Saatchi that it does not already own for $33.2 million (S) ","Cordiant P.L.C. in London, which owns agencies including Saatchi & amp; Saatchi Advertising Worldwide and Bates Worldwide, said yesterday that it had agreed to acquire the remaining 47 percent of the French operations of Saatchi & amp; Saatchi Advertising that it did not already own. The interest in the French agency, with offices in Paris, is being acquired from current and former employees and directors for $ 33.2 million. Nicolas Moniaux will continue as chairman. THE MEDIA BUSINESS: ADVERTISING-- ADDENDA"
Virginia Lottery awards Arnold Finnegan Martin a contract to handle its account (S) ,"The Virginia Lottery has awarded Arnold Finnegan Martin in Richmond a two-and-a-half-year contract to handle its account, which had been handled by the Richmond office of Earle Palmer Brown. Billings were estimated at $ 15 million annually. The decision came after a three-month review that included Arnold Finnegan Martin, a unit of Arnold Communications; Earle Palmer Brown; Barber Martin & amp; Associates in Richmond, and the Trellis Group, a team of three Virginia agencies. The lottery also awarded a contract for public relations, with annual billings estimated at $ 2 million, to Siddall, Matus & amp; Coughter in Richmond, a Trellis agency. THE MEDIA BUSINESS: ADVERTISING-- ADDENDA"
"Teachers, principals and school safety aides in New York City say that they will continue to search students aggressively for guns and other weapons, despite state appeals court ruling that 15-year-old student caught with loaded gun should not have been suspended because he was searched illegally (M) ","Although New York and other states grant less legal protection to students when they are on school property, the experts argued that students nonetheless enjoy basic rights. But it's not wildly aberrant.''In the 12-page decision, the Appellate Division agreed with the Family Court that the security guard had no'' reasonable suspicion'' to search the student, who has since left school. If a student's rights have been violated, evidence illegally seized as a result of such violation will be excluded.''Robert Pitler, a professor at Brooklyn Law School, said the Appellate Division's ruling fairly reflected state law."
Purell Brand consumer products division of Go-Jo Industries Inc says it is in preliminary stages of search for agency to introduce Purell Brand Instant Hand Sanitizer to consumer market (S) ,"The Purell brand consumer products division of GO-JO Industries Inc. in Cuyahoga Falls, Ohio, said yesterday that it was in the preliminary stages of a search for an agency to introduce Purell Brand Instant Hand Sanitizer to the consumer market. Billings were estimated at $ 15 million. Lorraine S. Rojek, president of the Rojek Marketing Group in Cleveland, which is managing the review, said that 8 to 10 agencies would be invited to participate. She said a decision would be made by mid-November. THE MEDIA BUSINESS: ADVERTISING-- ADDENDA"
