abstract,summary
Article profiles career of tennis player Venus Williams; photo (M) ,"Her father, Richard Williams, touted the match as No. 1 in the world versus No. 1 in'' the ghetto,'' but the real oddity was that Venus had the longer legs of the two. Instead, the elegant Graf won Wednesday's third-round match at the Acura Classic in 81 minutes-- 6- 4, 6- 4-- but imagine if Williams had stopped hitting waist-high to Graf's forehand. I was treating this match like any other match. Like a junior match. Yet, judging from the Graf match, Venus needs a second coach, or at least a new choreographer. Venus has so many more possibilities because of her size.''But Richard Williams will not cave in."
World Cup hockey notes (M) ,"On his National Hockey League team, the Rangers, Brian Leetch wears only the A, for alternate captain, on the front of his jersey. The first exhibition game will be Tuesday in Vancouver against Team Canada, which features Mark Messier, Wayne Gretzky and Adam Graves of the Rangers, along with Scott Stevens, Scott Niedermayer and Martin Brodeur of the Devils.--------------------Hextall and Flyers AgreePHILADELPHIA, Aug. 15 ( AP )-- Ron Hextall, who had the National Hockey League's best goals-against average last season, agreed to a contract with the Philadelphia Flyers today, avoiding an arbitration hearing. An eight-year National Hockey League veteran, Granato played two seasons with the Rangers before he was traded with Tomas Sandstrom to Los Angeles for center Bernie Nicholls. HOCKEY"
Status of Chicago Blackhawks hockey player Jeremy Roenick discussed (S) ,"General Manager Mike Milbury would neither confirm nor deny it. But a highly placed individual in the Islanders organization said yesterday that Milbury was told not to tender an offer sheet to Jeremy Roenick. That appears to leave a trade as the only avenue Milbury has to acquire the restricted free agent from the Chicago Blackhawks. But when Milbury requested final permission from the Islanders' four-man management committee, he was told that the price-- five future first-round draft choices should the Blackhawks choose not to match the offer-- was too steep."
Article discusses expected emphasis on passing for New York Jets offense in 1996; photo (M) ,"Last year the Jets started off with all the makings of a team devoted to a power running game. The team finished last in total offense and last in rushing, averaging 79.9 yards rushing a game. Of the 36 scoring opportunities inside the 20 last season, the Jets scored 17 touchdowns and 10 field goals, and managed just two rushing touchdowns-- the fewest in the National Football League. ' It would correlate to our offense. We have a good mix with the play action game and the three and four wide receiver stuff. The first unit offense has not scored a touchdown. In the first preseason game the first-team offense squandered a touchdown opportunity when it had a first-and-goal at the Eagles' 5. This is a new offense. WPIX will broadcast the game live."
"Richezza Williams, 13-year-old who ran away from her Baldwin, LI, home in March has been found slain in Easton, Pa, where she had taken new name and lied about her age but could not flee her troubled past; Corey Maeweather is arrested and two other suspects are being sought (M) ","Steve Parkansky of the Easton Police Department said yesterday. The two who were being sought last night on the same charges are Stanley Obas, 18, and Kwame Simmons, 20, the Easton police said. The Nassau County police said yesterday that Miss Williams had been spotted in Brooklyn several times after her family reported her missing on March 19.The The police declined to comment on whether they thought the Aug. 5 assault was meant to intimidate witnesses to Miss Williams's slaying. In any event, a victim of the Aug. 5 assault, who had been convicted earlier of credit-card fraud and drug charges, went to the police. She told them not only of being tortured but of having seen the three men take Miss Williams away on July 28 after brutalizing her."
"Outlook for national women's fastpitch softball tournament, Stratford, Conn (M) ","Twelve of the 15 members of the gold medal-winning United States Olympic softball team will be among more than 300 players participating in the national women's fastpitch tournament, which begins here Friday. For three members of the American Olympic team-- pitcher Lisa Fernandez, shortstop Dot Richardson and first baseman Sheila Cornell-- the tournament will amount to a homecoming, since they played for the Stratford Brakettes, for many years the nation's strongest fastpitch team. In all, 22 teams, including the Brakettes, are entered in the six-day tournament, which will be played at the Brakettes' home park, Allied Signal Field, and at Short Beach Field. SOFTBALL"
Article discusses success of New York Yankees relief pitcher Mariano Rivera; photo (M) ,"The ninth inning arrived in Chicago on Wednesday and Mariano Rivera was not asked to give the baseball back. Instead of retreating to the dugout in favor of John Wetteland, Rivera was called upon to save the tense game for the Yankees against the White Sox, and he adeptly secured the 3- 1 victory. On Wednesday, his first day replacing Wetteland, Rivera was superhuman again and struck out two in two innings while ruining White Sox strategy in the ninth. Wetteland said.'' Rivera said.'' INSIDE PITCHCould DAVID CONE start the first game of the post-season for the Yankees? Cone, who will pitch a simulated game today, will probably start Wednesday for Class AA Norwich."
"New York Mets to play three game series against San Diego Padres in Monterrey, Mexico; photo (M) ","John Franco, Todd Hundley, Doug Henry and a few other players sat around a lounge table with bottles of Corona coming one after another. Instead, the Mets are in Monterrey, set to claim their own small piece of baseball history by taking part in the first regular-season game played outside the United States or Canada.''La Primera Serie'' begins Friday night when the Mets open a three-game series against the Padres. The Mexican legend Fernando Valenzuela will pitch for the Padres against the Mets rookie Robert Person. Still, it's just a baseball game. In a season where the Mets are mired in mediocrity, this series with the Padres could be their most significant accomplishment this season. It's about time baseball did something, too. BASEBALL"
Sports transactions (M) ,"APPALACHIAN STATE-- Named Becky Offenbacher women's tennis coach. Named Dave Todoroff men's tennis coach. Named Laura Stange assistant director of sports communications. Named Debbie Hensley women's assistant soccer coach. Named Todd Dyer women's soccer and tennis coach. LSU-- Named Debbie Corum assistant athletic director for olympic sports. NORTH CAROLINA CENTRAL-- Named Joli Robinson women's basketball coach. Named Allen Farfour director of tennis and men's tennis coach and Sandy Williford women's tennis coach. Announced the resignations of Jeff Maher, men's assistant basketball coach, and James Sanders, assistant track and field coach. Named Jay Young men's assistant basketball coach. PETER'S COLLEGE-- Named Scott Sylvester women's soccer coach and Denis Saliola women's assistant soccer coach. Named Shannon Morrison defensive assistant coach."
"Article discusses Hartford, Conn, officials emphasizing Mark Twain's ties to Hartford as major tourist attraction; 19-room victorian mansion where Samuel Clemens lived in Hartford described; this weekend, Hartford will host three-day hoopla entitled Mark Twain Days (M) ","was during that period, from 1874 to 1891, that Twain wrote'' The Adventures of Tom Sawyer,'''' Mark Twain: Indeed, Twain seems to be popping up all over town. TWAIN telephone line with the greeting,'' Hello, Mark Twain And Hannibal, undoubtedly the champion of Mark Twain kitsch, is clearly not concerned about Hartford. Whatever Hartford's ambitions, it will take work to get people to think of the city as a Twain landmark. Twain wrote upon his first visit in 1868.'' Clemens and Mark Twain: When he moved to Hartford he did not want to be known as the cigar-smoking, poker-playing Mark Twain. Tourist-Hungry Hartford Revives Spirit of Twain"
Problems besetting Seattle Mariners discussed; photo (M) ,"We still have time to get back into this thing.''A year ago at this time, the Mariners were playing sensational baseball. This season the Mariners already have duplicated some aspects of last season. Injuries, for example, only they have endured more injuries to their best players this season than last year. Ken Griffey Jr., who missed 73 games last season with a fractured left wrist, broke a bone in his right hand this year and missed 20 games. title his first year. Last season, after he returned from his broken wrist, he batted.255 with 10 home runs and 27 r.b.i."
"India begins 50th year of independence, with many veterans ruefully reflecting on what has become of country they helped found (M) ","As India relaxed today on the holiday marking the start of the country's 50th year of independence, a group of old men gathered at a monsoon-stained apartment block here to reminisce about having been'' freedom fighters'' in the struggle that led Britain to end its days of empire in India. The Statesman, the country's oldest newspaper, recalled in its editorial that Winston Churchill, who ordered a harsh crackdown on the independence movement as Britain's Prime Minister during World War II, had warned as opposition leader in 1947 that Britain was abandoning India to'' men of straw.''"
