abstract,summary
New &amp; Noteworthy Paperbacks column; photo (L) ,"WILLIAM COOPER'S TOWN: Power and Persuasion on the Frontier of the Early American Republic By Alan Taylor. Last year our reviewer, Pauline Maier, praised its'' fascinating story'' and'' stunning collection of early American characters.''A SHOOTING STAR By Wallace Stegner. The author'' writes of them with style and sympathy,'' our reviewer, William Doyle, wrote last year. Jane Holtz Kay wrote in these pages last year. Allan Temko said in the Book Review. Last year our reviewer, Richard Bausch, wrote that her style allows'' characters and their stories to emerge with the intimacy of personal memory.''A CIVIL ACTION By Jonathan Harr. Abby Frucht wrote in the Book Review last year."
Article on cooking with beans; recipes; drawing (M)7 ,"LATE summer is a peak time for fresh beans of all kinds. Fresh shell beans can be simmered in water flavored with onion, garlic and herbs and allowed to cool in their cooking liquid. Fresh Shell Bean Gratin Shell the beans. Combine the beans in a gratin dish with the onions, tomatoes and greens. Add enough bean water almost to cover. Parboil the beans in salted water for two to three minutes and drain. Add beans and more water if necessary. Warm Green Bean Salad Boil the beans in salted water until they are tender. Cut the onion in very thin slices and cut the cherry tomatoes in half. Put the onions, tomatoes and the olives in a salad bowl.3. Pour the dressing over the onion and cherry tomatoes."
Edward R Lipinski column offers advice on repairing roof; drawing (M) ,"Press the shingle onto the cement layer then smooth more cement over the crack. Instead, raise the shingle and cover the exposed area with roofing cement. Cover the nail heads with more roofing cement. Some shingles may be curled up away from the roof. Apply a generous dab of roofing cement under the shingle, then press it onto the cement. Before you can position the replacement, you'll have to remove the torn shingle and also the roofing nails that secure it. Secure it with roofing nails. Finish the job by dabbing roofing cement under the new shingle. Not all roofs are protected with asphalt shingles. Press the shingle down and secure it with two nails. Cover the crack and nail heads with roofing cement."
Joan Lee Faust column offers advice on growing tulips and other flowers in garden in early fall; drawing (M) ,"The big three in the bulb world are synonymous with spring. Another diminutive bulb flower that may be one of the first to bloom is the tiny winter aconite ( Eranthis hyemalis ). The bulb should be planted where it can multiply by seeding itself over the years. The flowers are basically white with a blue stripe. Since the wind flower foliage dies down readily it does not get in the way of later bloom. These leaves die down and new ones and spikes of blue bloom appear in the spring. If the bulbs can be planted where the thick foliage does no harm, the blooms are well worth the effort. The lists of popular bulb flowers can go on and on."
Christine Stevens letter on July 7 article on New York University's dismissal of Dr Jan Moor-Janowski after he complained about inhumane animal research at another NYU facility (S) ,"The case of Dr. Jan Moor-Janowski and New York University $ ('' In the Maelstrom of Animal Medical Studies,'' July 7 $ ) is an extraordinary example of almost inexplicable treatment of a distinguished scientist by an equally distinguished academic institution. It all began when Dr. Moor-Janowski, whose dedication to the highest standards of research probity is unquestioned, protested what he deemed inhumane experiments at another N.Y.U. facility. Although the Lemsip chimpanzees could have been transferred to another research institution, N.Y.U. directed that they go to Fred Coulston, a toxicologist who has publicly averred his dislike of chimps and who has opposed their retirement."
Letter from Agriculture Department aide Terry l Medley replies to Suzanne E Roy's July 28 letter on July 7 article on New York University's research use of animals (S)&#xFFFD; ,"Whereas I agree with Suzanne E. Roy's statement $ ( Letters,'' N.Y.U. Fined in Animal Research,'' July 28 $ ) that the settlement agreement with New York University is by far the largest in the history of the Agriculture Department, the statement in Ms. Roy's letter that I acknowledged that'' politics'' prevented the Department of Agriculture from upholding the law is erroneous. After review of all the evidence, we concluded that the evidence did not support a complaint for a violation of section 2.32 ( c ) ( 4 ) of the Animal Welfare Act regulations, e.g., retaliation for reported violations of the act. TERRY L. MEDLEY Administrator, Animal and Plant Health Inspection Service Department of Agriculture"
Letter from American Jewish Congress aide Jon Kaiman on Sept 15 article lauds County Executive Robert J Gaffney's veto of bill to make English Suffolk County's official language (S) ,"County Executive Robert J. Gaffney's veto of the bill $ ('' E Pluribus Unum? Mr. Gaffney should be commended for sending this strong message of welcome and inclusion to all of Suffolk's residents by his veto of this legislation. To the contrary, by enacting such legislation, the legitimacy of bilingual assistance, aids upon which many Hispanics and Asians depend and aids that have long been supported by the Jewish community, would have been called into question. The'' English Only'' legislation would have placed unnecessary restrictions on Suffolk County activities and on its citizens, and was a divisive force that would have served to further polarize our community. JON KAIMAN Chairman, American Jewish Congress Law and Social Action Commission Great Neck"
Major photographic exhibit on history of the American West opens at San Francisco Museum of Modern Art; photo (S) ,"A major photographic exhibition focusing on the American West opens this week at the San Francisco Museum of Modern Art.'' In Karen Halverson's eerie 1987 photograph of Lake Powell near Page, Ariz., jet skis and power boats appear as unnatural intruders on the desert landscape.''Crossing the Frontier'' will be at the San Francisco Museum of Modern Art from Sept. 26 to Jan. 28. It will travel to the Yale University Art Gallery, the Phoenix Art Museum and the Tokyo Metropolitan Museum of Photography. The museum is closed Monday; starting in January it will be closed on Wednesday instead."
"Delta Air Lines plans new division, Delta Express, to offer lower-fare service between Florida and Northern and Midwestern cities (S) ","Delta Air Lines plans to start a new low-fare division called Delta Express next month to offer low-fare service linking 10 cities in the Northeast and Midwest with five cities in Florida. Delta Express will sell 7-day and 21-day advance purchase tickets, as well as walk-up fares. Passengers will earn the same Delta frequent flier mileage on Delta Express. The move by Delta is largely in response to the expansion of low-fare carriers like Southwest Airlines, which recently started offering service to and within Florida, an important market for Delta, and is the latest attempt by a major airline to set up a smaller division modeled after Southwest. United Airlines, for example, operates the United Shuttle among many Western cities. Continental Airlines tried and failed in recent years with its Continental Lite operation."
Eleven historic riverboats including Delta Queen to converge along Mississippi River to celebrate Iowa's sesquicentennial; photo (S) ,"Eleven historic riverboats, including the Delta Queen, will converge along the Mississippi Riverfront in Davenport and Bettendorf, Iowa, for a Big River Rendezvous, the finale of Iowa's 150-day sesquicentennial celebration, from Oct. 10 to 13.The rendezvous is designed to commemorate Iowa's steamboating heritage, with tours and cruises aboard 10 of the riverboats that will be moored along Oneida Landing in Davenport. ( The steamboat will not offer cruises or tours to the public.)Land-based activities include an opening-night Catfish Festival; a Captains' River Reunion and Costume Ball, where international boat captains will convene, and a jazz performance by the Quad City Symphony."
"State Department lifts warning against travel to Guatemala, but still cautions Americans about possibility of violence (S) ","The State Department has lifted its two-year-long warning against travel to Guatemala, but is still cautioning Americans about the possibility of violence. Americans are frequent victims of pickpockets and robbers on public buses, and in tourist sites in cities. A few years ago, rumors that foreigners were involved in the kidnapping of Guatemalan children for the purpose of using their organs for transplant resulted in mob violence in several parts of the country. Although the last incident of this sort was in 1994 and the threat of further occurrences is not considered'' immediate,'' the State Department encourages Americans to avoid contact with Guatemalan children. It is suggested that anyone adopting a Guatemalan child travel with that child as little as possible. For recorded travel information, call ( 202 ) 647- 5225."
Correction of Sept 8 photo caption about San Francisco Art Museum; Mario Botta is Swiss ,"A front-page picture caption on Sept. 8 about the San Francisco Museum of Modern Art misstated the nationality of its designer, Mario Botta. As the article noted, he is Swiss, not Italian."
Daniella Olibrice letter describes racism she encountered as black woman traveling with her white husband in Indonesia (S) ,"To the Editor: I've just spent a month traveling with my husband in Java and Northern Sumatra. I am an African-American of Haitian origin. My husband is white, of Dutch nationality. We spent at least three days in each of various parts of Java and Sumatra. Regardless of where we were, in small towns or big cities, I got a lot of very negative attention. In the beginning, I would try to greet people with a smile, but very often would be met with a stony or hostile gaze."
F W Kelly letter notes that many of Ireland's fine horses are descended from cavalry horses left behind in Oliver Cromwell's failed invasion ,"At the conclusion there is some emphasis on the difference between Irish and American horses. While the'' invasion'' failed, the cavalry horses that Cromwell left behind originated the lines of many of today's fine Irish horses. The Cromwell horses were only two or three generations from their ancestors, who carried armored men on long campaigns into battle. This required the strength, power and endurance of a draft horse. In a picture with the article, fetlocks on the horse shown clearing a bank are evidence of draft horse background. In fact, it is simply another family characteristic of the draft horse."
L B Trenholme letter expresses astonishment that French tourist office in US would charge 95 cents a minute to callers requesting travel information ,"To the Editor: In October my wife and I are taking a seven-day cruise on the Rhone River, ending up in Paris via T.G.V. high-speed train from Lyons. I telephoned the French Government Tourist Office in New York to request a Paris street map and a Metro map. The number in the Manhattan telephone directory had been disconnected. The information operator gave a 900 number to call, which I did. The person who answered promised to send me the maps and asked me a lot of questions. I was really shocked that the French would charge 95 cents a minute for information about their country. L.B. TRENHOLMERossmier, N.J."
Seymour B Kramer letter reports on long waits to enter each room of Cezanne exhibit at Philadelphia art museum (S) ,"To the Editor:'' Cezanne Gives a Boost to Philadelphia Tourism'' ( Correspondent's Report, Aug. 25 ) leaves out much of the story. The show may have been a commercial success, but your writer, Glenn Collins, failed to mention the long lines and waiting time of up to an hour. The comfort of the art patron was not considered in this event. Lines snaked around to enter the first room. Inside, viewers were four and five deep. The museum could have planned things better to accommodate those who came from far away, perhaps never to attend another show of this kind ( at least not in Philadelphia).SEYMOUR B. KRAMERNorth Brunswick, N.J."
Ray J Groves letter praises USAir for helping her young grandson travel home alone ,"To the Editor: Thank you for your very useful article'' Sending a Child Alone on Flights'' ( Practical Traveler, Aug. 4).For the first time, we sent our 6-year-old grandson home alone on a nonstop flight this summer. It worked very well. USAir handled both ends as described in your article, and we all, grandparents, son and grandson, were very satisfied. RAY J. GROVESNew Canaan, Conn."
"Stanley B Brams letter on soothing summers on Prince Edward Island, and good meals in Nothing Fancy Restaurant in Souris (S) ","To the Editor: I was happy to see'' Prince Edward Island Idyll'' ( Frugal Traveler, Aug. 4 ). I go to the island every summer to soothe my soul with the peaceful panoramas and delight my earthly side with the equally satisfying lobster dinners at the Fisherman's Wharf. In the town of Souris, near the eastern end of the island, is a place on Main Street called the Nothing Fancy Restaurant. It is just that-- plain, nothing fancy. Nevertheless, the menu is ample, the food well prepared. And Nothing Fancy is a name that deserves to be memorialized. STANLEY H. BRAMSBloomfield Hills, Mich."
Barbara Browne letter reports on smoke-filled cars on Amtrak trains from Midwest to East (S) ,"To the Editor: I did not recognize the'' smoke free'' Amtrak described by Adam Bryant in'' On the Ground, a Few Chances to Light Up'' ( June 30 ). On a recent trip from Minneapolis to Ardmore, Pa., I found that the Empire Builder, Capitol Limited and Three Rivers trains were actually quite smoky in certain places. The observation car on the first two trains contained two designated smoking sections, partitioned only by narrow plexiglass strips on either side of the aisle that allowed plenty of smoke to circulate throughout the nonsmoking section sandwiched between them. The Three Rivers train had no observation car, so the cafe car contained the smoking section, which had no partitions to divide it from the nonsmoking section. BARBARA BROWNEGladwyne, Pa."
Phyllis Tyzenhouse letter objects to Eric Weinberger's lack of respect for Calvinist traditions of Netherlands; Weinberger responds that he meant no disrespect in July 21 article (S) ,"I have traveled a great deal in the area and came to have a high regard for the beauty of the buildings and landscape and for the industry and ingenuity of the people. Just because the author happens to disagree with that statement, which I believe holds a lot of truth, does not give him leave to offend a great many people, including non-Calvinists. Otherwise, the article was an interesting depiction of a favorite area of mine. Having lived in the Netherlands and being very familiar with it gave him a perspective and comprehension not seen in many travel articles. PHYLLIS TYZENHOUSERichmondEric Weinberger responds: Envy seems, to me, a baser sentiment than pity, and not one of the higher Christian virtues."
Suggestions for one-day visit to Geneva (S) ,"Leave the blue-green lake, Geneva's glory, for the early afternoon when the autumn light is best, and start your sightseeing day in the Old Town. As an alternative, you might take the F or No. 8 bus up to United Nations headquarters to catch the day's last guided tour of the vast 60-year-old Palais des Nations. It rises in the well-tended Ariana Park, adjacent to the city's lush Botanical Garden, overlooking the lake, and is a monumental embodiment of Geneva's cosmopolitan character. The affluent city's night life, according to the official Geneve Agenda weekly guide,'' caters to all tastes.''PAUL HOFMANNEUROPE: FALL AND WINTER"
Suggestions for one-day visit to Amsterdam (S) ,"Here is the great Renaissance town hall, proof of the wealth of the 17th-century merchants ( it later became a royal palace ), and next door are the Gothic arches of the 15th-century New Church. Another enticing, half-hidden place is the Amsterdam Historical Museum. A small, lopsided gateway on the Kalverstreet leads into the cluster of 17th-century buildings, once the city orphanage. It has an impressive display of documents and objects covering seven centuries, but I'm rather partial to its play-it-yourself carillon and the surprising outdoor ( though glassed-in ) art gallery with its images from the prosperous, bourgeois past: aligned here are large group portraits of the Civic Guards and the guilds, part of that popular painting tradition from which Rembrandt's'' Night Watch'' also sprang."
